from_path,from_table,from_column,to_path,to_label,to_column
nyc/,housing.csv,Project Start Date,nyc/,city_record_online.csv,StartDate
nyc/,civil_service_titles1.csv,Title Description,nyc/,capital_projects1.csv,Description
nyc/,civil_service_titles1.csv,Union Code,nyc/,civil_service_titles1.csv,Union Code
nyc/,civil_service_titles1.csv,Bargaining Unit Description,nyc/,civil_service_titles1.csv,Bargaining Unit Short Name
nyc/,civil_service_titles1.csv,Bargaining Unit Short Name,nyc/,civil_service_titles1.csv,Bargaining Unit Description
nyc/,capital_projects2.csv,Borough,nyc/,film_permits.csv,Borough
nyc/,capital_projects2.csv,Borough,nyc/,evictions.csv,BOROUGH
nyc/,capital_projects2.csv,Project Name,nyc/,housing.csv,Project Name
nyc/,capital_projects2.csv,Borough,nyc/,housing.csv,Borough
nyc/,civil_service_titles2.csv,Union Description,nyc/,capital_projects1.csv,Description
nyc/,civil_service_titles2.csv,Bargaining Unit Description,nyc/,civil_service_titles1.csv,Bargaining Unit Short Name
nyc/,civil_service_titles2.csv,Union Description,nyc/,civil_service_titles1.csv,Title Description
nyc/,civil_service_titles2.csv,Union Code,nyc/,civil_service_titles1.csv,Union Code
