Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
58191,CONFIDENTIAL,11/10/2014,---- ----,Brooklyn,,BK-12,,Preservation,Non Prevailing Wage
50372,San Miguel Residence aka Ryer Associates,11/07/2014,2386 RYER AVENUE,Bronx,10458.0,BX-05,BX05,Preservation,Non Prevailing Wage
53467,CONFIDENTIAL,11/07/2014,---- ----,Queens,,QN-12,,Preservation,Non Prevailing Wage
58189,CONFIDENTIAL,11/06/2014,---- ----,Queens,,QN-12,,Preservation,Non Prevailing Wage
54537,CONFIDENTIAL,11/03/2014,---- ----,Staten Island,,SI-02,,New Construction,Non Prevailing Wage
53529,CONFIDENTIAL,11/01/2014,---- ----,Queens,,QN-13,,Preservation,Non Prevailing Wage
53542,CONFIDENTIAL,11/01/2014,---- ----,Bronx,,BX-04,,Preservation,Non Prevailing Wage
53614,CONFIDENTIAL,10/31/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
53664,CONFIDENTIAL,10/31/2014,---- ----,Brooklyn,,BK-18,,New Construction,Non Prevailing Wage
50405,CROTONA PARK NORTH,10/30/2014,756 EAST 175 STREET,Bronx,10457.0,BX-06,BX17,Preservation,Non Prevailing Wage
50405,CROTONA PARK NORTH,10/30/2014,1791 PROSPECT AVENUE,Bronx,10457.0,BX-06,BX17,Preservation,Non Prevailing Wage
50417,Gateway 1,10/30/2014,45 LENOX AVENUE,Manhattan,10026.0,MN-10,MN11,Preservation,Non Prevailing Wage
50418,Audubon,10/30/2014,2321 ADAM C POWELL BOULEVARD,Manhattan,10030.0,MN-10,MN03,Preservation,Non Prevailing Wage
52241,606 WEST 57TH STREET,10/30/2014,606 WEST 57 STREET,Manhattan,10019.0,MN-04,MN15,New Construction,Non Prevailing Wage
53615,CONFIDENTIAL,10/30/2014,---- ----,Queens,,QN-03,,New Construction,Non Prevailing Wage
58188,CONFIDENTIAL,10/30/2014,---- ----,Brooklyn,,BK-17,,Preservation,Non Prevailing Wage
58227,CONFIDENTIAL,10/30/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
58491,Locust Manor Family II (20136069),10/30/2014,126-02 LOCUST MANOR LANE,Queens,11434.0,QN-12,QN08,New Construction,Non Prevailing Wage
50419,Site A/Washington Heights,10/29/2014,2036 AMSTERDAM AVENUE,Manhattan,10032.0,MN-12,MN36,Preservation,Non Prevailing Wage
50421,MSHOUSES,10/29/2014,123 EAST 129 STREET,Manhattan,10035.0,MN-11,MN34,Preservation,Non Prevailing Wage
58180,CONFIDENTIAL,10/29/2014,---- ----,Bronx,,BX-09,,Preservation,Non Prevailing Wage
55413,334 Beach 54th Street,10/28/2014,334 BEACH 54 STREET,Queens,11692.0,QN-14,QN12,Preservation,Non Prevailing Wage
58179,CONFIDENTIAL,10/28/2014,---- ----,Queens,,QN-14,,Preservation,Non Prevailing Wage
53414,CONFIDENTIAL,10/27/2014,---- ----,Queens,,QN-13,,Preservation,Non Prevailing Wage
53663,CONFIDENTIAL,10/24/2014,---- ----,Brooklyn,,BK-08,,New Construction,Non Prevailing Wage
65068,338 AND 340 ELDERT STREET,10/24/2014,340 ELDERT STREET,Brooklyn,11237.0,BK-04,BK77,New Construction,Non Prevailing Wage
65107,2985 AND 2987 WEBSTER AVE,10/24/2014,2985 WEBSTER AVENUE,Bronx,10458.0,BX-07,BX05,New Construction,Non Prevailing Wage
53616,CONFIDENTIAL,10/23/2014,---- ----,Bronx,,BX-12,,New Construction,Non Prevailing Wage
53661,CONFIDENTIAL,10/22/2014,---- ----,Brooklyn,,BK-08,,New Construction,Non Prevailing Wage
53611,CONFIDENTIAL,10/21/2014,---- ----,Bronx,,BX-11,,New Construction,Non Prevailing Wage
58200,CONFIDENTIAL,10/21/2014,---- ----,Brooklyn,,BK-04,,Preservation,Non Prevailing Wage
53251,CONFIDENTIAL,10/20/2014,---- ----,Bronx,,BX-12,,Preservation,Non Prevailing Wage
53609,CONFIDENTIAL,10/20/2014,---- ----,Queens,,QN-13,,New Construction,Non Prevailing Wage
53618,CONFIDENTIAL,10/17/2014,---- ----,Bronx,,BX-10,,New Construction,Non Prevailing Wage
