DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,2012-2013PERFORMANCE GRADE,2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
31R063,31,Marsh Avenue School for Expeditionary Learning,Jessica Jenkins-Milona,EMS,Middle,B,64.3,66.85,28.7,B,17.2,A,13.6,A,.,.,4.7,A,B,B
31R064,31,Gaynor McCown Expeditionary Learning School,Traci Frey,HS,High School,B,66.9,63.14,35.4,B,12,B,10.3,B,4.7,C,4.54,A,,
31R065,31,P.S. 65 The Academy of Innovative Learning,Sophie Scamardella,EMS,Elementary,C,43.7,27.38,17,D,13.2,B,12.3,A,.,.,1.2,A,B,.
31R069,31,P.S. 069 Daniel D. Tompkins,Doreen Murphy,EMS,Elementary,C,42.8,24.59,21.7,C,9.4,C,9.4,A,.,.,2.3,C,C,C
31R072,31,I.S. 072 Rocco Laurie,Peter Macellari,EMS,Middle,B,67.5,74.44,40.1,A,16.2,B,7.7,C,.,.,3.5,C,B,B
31R074,31,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,Nicole Reidchristopher,EC,K-3,.,.,.,.,.,.,.,.,.,.,.,.,,,
31R075,31,I.S. 075 Frank D. Paulo,Kenneth Zapata,EMS,Middle,B,62.8,62.36,29.7,B,18.7,A,10.9,B,.,.,3.5,B,B,B
31R080,31,The Michael J. Petrides School,Joanne Buckheit,EMS,K-8,C,49,31.1,21.5,C,14.5,B,9,B,.,.,4,C,C,C
31R080,31,The Michael J. Petrides School,Joanne Buckheit,HS,High School,A,71.4,72.36,30.8,B,16.2,A,12,A,8,A,4.3,A,A,A
31R440,31,New Dorp High School,Ms. Deirdre Deangelis,HS,High School,B,63,50.14,28.7,B,11.7,B,10.9,B,6.1,B,5.57,B,A,A
31R445,31,Port Richmond High School,Timothy M. Gannon,HS,High School,C,52.5,22.22,23.4,C,8.6,C,10,B,6.1,B,4.39,B,C,B
31R450,31,Curtis High School,Aurelia Curtis,HS,High School,B,63.7,52.57,27.3,C,13.4,B,10.6,B,6.9,A,5.48,B,B,B
31R455,31,Tottenville High School,John P. Tuminaro,HS,High School,B,65.1,56.64,33,B,12.6,B,11.1,B,5.9,B,2.44,B,B,B
31R460,31,Susan E. Wagner High School,Mr. Gary M. Giordano,HS,High School,A,73.9,76.42,36.7,A,13.4,B,11.4,B,7.5,A,4.91,A,A,A
31R470,31,Concord High School,Ron Gorsky,HST,High School Transfer,A,70.6,.,31.4,B,11.2,B,13.9,A,3.3,C,10.8,A,A,A
31R600,31,Ralph R. McKee Career and Technical Education High School,Sharon Alicia Henry,HS,High School,B,62.3,49.05,28.5,B,11.5,C,9,C,5.9,B,7.33,B,B,A
31R605,31,Staten Island Technical High School,Vincent Maniscalco,HS,High School,A,91.2,97.83,50,A,18.4,A,12.8,A,10,A,0,A,A,A
31R607,31,Staten Island Yabc,Joann Calabro,YABC,YABC,B,64.9,.,31.8,B,12,B,11.3,B,4.3,B,5.49,B,B,C
31R861,31,Staten Island School of Civic Leadership,Rose Kerr,EMS,K-8,A,79.4,97.56,44.2,A,18.6,A,10.4,A,.,.,6.2,A,A,.
32K045,32,P.S. 045 Horace E. Greene,Tracey Lott-Davis,EMS,K-8,D,37.9,6.71,14.1,D,11.3,C,9.9,B,.,.,2.6,B,B,A
32K075,32,P.S. 075 Mayda Cortiella,Yolanda Williams,EMS,Elementary,B,49.1,40.82,33.4,B,8.7,C,3.7,C,.,.,3.3,C,B,C
32K086,32,P.S. 086 The Irvington,Mabel Sarduy,EMS,Elementary,A,75.4,94.43,43.1,A,16.6,A,11.6,A,.,.,4.1,B,B,C
32K106,32,P.S. 106 Edward Everett Hale,Robert Flores,EMS,Elementary,C,43.6,26.89,24.6,C,9.7,C,6.5,B,.,.,2.8,A,C,B
32K116,32,P.S. 116 Elizabeth L Farrell,Seiw Kong,EMS,Elementary,B,56.9,65.9,33.1,B,14.9,B,6.3,B,.,.,2.6,A,A,A
32K123,32,P.S. 123 Suydam,Veronica Greene,EMS,Elementary,C,43.1,25.41,23.7,C,10,C,6.1,B,.,.,3.3,B,B,C
32K145,32,P.S. 145 Andrew Jackson,Lucia Perez Medina,EMS,Elementary,F,22.2,0.49,10.6,F,8.3,C,1.9,D,.,.,1.4,B,C,B
32K151,32,P.S. 151 Lyndon B. Johnson,Maria Anaya,EMS,Elementary,C,47,34.92,30.9,B,10.2,C,2,D,.,.,3.8,C,D,C
32K162,32,J.H.S. 162 The Willoughby,Barbara Demartino,EMS,Middle,B,55.7,45.79,30.9,B,14.2,B,7.1,C,.,.,3.5,B,C,C
32K168,32,The Brooklyn School for Math and Research,Perry Rainey,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
32K274,32,P.S. 274 Kosciusko,Maritza Ollivierra-Jones,EMS,Elementary,C,40.8,19.34,21.4,C,8.7,C,8.3,B,.,.,2.4,B,C,A
32K291,32,J.H.S. 291 Roland Hayes,Jacqueline Rosado,EMS,Middle,C,47.6,26.97,30,B,5.9,F,7.9,C,.,.,3.8,C,C,C
32K296,32,J.H.S. 296 The Halsey School,Diana Devito,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,F,C
32K299,32,P.S. 299 Thomas Warren Field,Wilma Kanova Kirk,EMS,Elementary,B,54.3,59.34,31.1,B,16.6,A,3.8,C,.,.,2.8,A,D,B
32K347,32,I.S. 347 School of Humanities,John Barbella,EMS,Middle,D,35.6,8.43,16.1,D,9.8,C,6.9,C,.,.,2.8,C,C,C
32K349,32,"I.S. 349 Math, Science & Tech.",Rogelio Parris,EMS,Middle,B,53.3,40.73,32.6,B,7.8,C,8.8,B,.,.,4.1,D,C,C
32K376,32,P.S. 376,Maria Vera,EMS,Elementary,B,58.3,69.67,33.7,B,12,B,9.7,A,.,.,2.9,C,C,B
32K377,32,P.S. 377 Alejandrina B. De Gautier,Dominic Zagami,EMS,K-8,D,33.3,3.05,16.8,D,8.5,C,5,C,.,.,3,C,F,B
32K383,32,J.H.S. 383 Philippa Schuyler,Jeanette Smith,EMS,Middle,C,40.5,13.2,18.3,C,11.1,C,8.4,C,.,.,2.6,C,B,C
32K384,32,P.S. /I.S. 384 Frances E. Carter,Phyllis Raulli,EMS,K-8,B,62.9,73.17,31,B,15.6,B,11.7,A,.,.,4.6,A,B,A
32K403,32,Academy for Environmental Leadership,Nilda Gomez-Katz,HS,High School,A,74.2,76.96,37.1,A,15.1,A,11,B,4,C,6.95,A,A,A
32K545,32,EBC High School for Public Service - Bushwick,Shawn Brown,HS,High School,B,60.2,40.11,27.7,B,9.9,C,12,A,5,C,5.5,B,F,C
32K549,32,Bushwick School for Social Justice,Lucas Cooke,HS,High School,B,58.6,35.23,28.8,B,9.9,C,11,B,2.3,F,6.57,B,A,A
32K552,32,Academy of Urban Planning,Kyleema Norman,HS,High School,C,49.8,14.09,19.5,C,12.4,B,7.9,C,4.9,C,5.12,C,B,B
32K554,32,All City Leadership Secondary School,Elvis Estevez,EMS,Middle,B,63.6,64.33,29.7,B,17.7,A,14,A,.,.,2.2,C,A,C
32K554,32,All City Leadership Secondary School,Elvis Estevez,HS,High School,A,77.4,83.47,36.1,B,16,A,13.7,A,7.5,A,4.08,A,A,A
32K556,32,Bushwick Leaders High School for Academic Excellence,Catherine Reilly,HS,High School,D,45.7,9.49,19,D,9.6,C,9.1,C,2.7,D,5.3,C,C,B
32K562,32,Evergreen Middle School for Urban Exploration,Margery Cooper,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,,
32K564,32,Bushwick Community High School,Llermi Gonzalez,HST,High School Transfer,F,32.2,.,18.7,C,1.4,F,5.5,D,0.8,F,5.76,C,C,B
75K036,75,P.S. 36,Johanna Schneider,D75,Middle,B,63.1,.,44,A,10.5,B,8.6,D,.,.,.,C,A,C
75K053,75,P.S. K053,Heather Leykam,D75,Middle,.,.,.,.,.,.,.,.,.,.,.,.,A,A,B
75K140,75,P.S. K140,Roderick Palton,D75,K-8,F,24.3,.,13.4,F,8,C,2.9,F,.,.,.,D,F,D
75K368,75,P.S. 368,Joycelyn Nedd,D75,Middle,C,48.8,.,33.6,B,6,D,9.2,C,.,.,.,F,B,D
75K369,75,P.S. K369 - Coy L. Cox School,Rudy Giuliani,D75,K-8,B,53.3,.,32,B,7.6,C,13.7,A,.,.,.,C,B,B
75K372,75,P.S. 372 -The Children's School,Arthur Mattia,D75,Elementary,A,65.2,.,29.7,B,20.7,A,14.8,A,.,.,.,A,A,A
75K771,75,P.S. K771,Denise Danna,D75,K-8,A,67.6,.,31,B,23.1,A,13.5,A,.,.,.,A,B,A
75M094,75,P.S. M094,Ronnie Shuster,D75,Elementary,.,.,.,.,.,.,.,.,.,.,.,.,C,D,C
75M169,75,P.S. M169 - Robert F. Kennedy,Susan Finn,D75,Middle,B,54.3,.,31.2,B,10.6,B,12.5,B,.,.,.,B,B,D
75M811,75,P.S. M811 - Mickey Mantle School,Barry Daub,D75,Elementary,B,58.8,.,34.2,B,10.2,C,14.4,A,.,.,.,C,C,F
75Q004,75,P.S. Q004,Marcy Berger,D75,Elementary,B,59.1,.,31.9,B,12.6,B,14.6,A,.,.,.,D,A,A
75Q009,75,P.S. 009,Robert Wojnarowski,D75,K-8,B,59.4,.,28,B,20.1,A,11.3,B,.,.,.,B,A,B
75Q075,75,Robert E. Peary School,Brenda Gallashaw,D75,K-8,A,66.7,.,42.1,A,15.8,B,8.8,C,.,.,.,A,A,C
75Q224,75,P.S. Q224,Desmond Park,D75,Elementary,C,51.4,.,25.8,C,12.9,B,12.7,B,.,.,.,B,B,B
75Q256,75,P.S. Q256,Oswaldo Roman,D75,Middle,A,66.3,.,37.8,A,14.2,B,14.3,A,.,.,.,A,A,A
75R025,75,South Richmond High School I.S./P.S. 25,James Mckeon,D75,Middle,B,57.9,.,28.6,B,21.1,A,8.2,D,.,.,.,B,C,B
75R373,75,P.S. R373,Ilene Goldstein Harne,D75,Elementary,D,44.1,.,29.4,B,5.8,F,8.8,C,.,.,.,B,A,B
75X010,75,P.S. X010,Barbara Hanson,D75,Elementary,C,50.7,.,22.8,C,17.2,B,10.7,C,.,.,.,A,B,A
75X017,75,P.S. X017,Marlin Hoggard,D75,K-8,D,35,.,15.3,D,8.7,C,11,B,.,.,.,A,A,A
75X168,75,P.S. 168,Maureen Fullerton,D75,K-8,C,45.5,.,22.2,C,9.9,C,13.4,B,.,.,.,C,C,D
75X176,75,P.S. X176,Rima Ritholtz,D75,D75,A,72.8,.,38.5,A,23.1,A,11.2,B,.,.,.,,,
75X186,75,P186X Walter J. Damrosch School,Ava Cara Kaplan,D75,K-8,C,50.2,.,22.1,C,15.1,B,13,B,.,.,.,B,C,F
75X188,75,P.S. X188,Shanie Johnson,D75,Middle,C,50.2,.,23.1,C,12.7,B,14.4,A,.,.,.,B,D,C
