DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,2012-2013PERFORMANCE GRADE,2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
27Q254,27,P.S. 254,Naomi Drouillard,EMS,Elementary,A,68.3,88.52,35.2,B,20.3,A,9.6,A,.,.,3.2,A,A,A
27Q260,27,Frederick Douglass Academy VI High School,Linda Alfred,HS,High School,F,31.2,1.9,15,D,7.1,D,3.4,F,4.3,C,1.4,C,C,C
27Q262,27,Channel View School for Research,Patricia J. Tubridy,EMS,Middle,,.,.,.,,.,,.,,.,.,.,B,C,B
27Q262,27,Channel View School for Research,Patricia J. Tubridy,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,A,A,A
27Q282,27,Knowledge and Power Preparatory Academy VI,Gary Dumornay,EMS,Middle,C,51.1,35.67,18.6,C,14.5,B,14.4,A,.,.,3.6,A,A,C
27Q302,27,"Queens High School for Information, Research, and Technology",Magaly Hicks,HS,High School,B,65.8,58.81,32.3,B,11.8,B,10.9,B,4.3,C,6.47,C,,
27Q306,27,New York City Academy for Discovery,Jennifer Flandro,EMS,Elementary,B,57.9,68.2,29.7,B,15.3,B,10,A,.,.,2.9,C,A,.
27Q308,27,Robert H. Goddard High School of Communication Arts and Technology,Joseph Birgeles,HS,High School,A,76.1,81.03,38.6,A,16.8,A,12.3,A,4.2,C,4.18,A,,
27Q309,27,Academy of Medical Technology: A College Board S,Jose Merced,EMS,Middle,C,52.7,38.2,29.3,B,11.3,C,8,C,.,.,3.9,C,B,D
27Q309,27,Academy of Medical Technology: A College Board School,Jose Merced,HS,High School,C,53.4,23.58,24.6,C,7.7,C,9.6,C,7,A,4.48,B,,
27Q317,27,WATERSIDE CHILDREN'S STUDIO SCHOOL,Dana Gerendasi,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,B,A,.
27Q318,27,WATERSIDE SCHOOL FOR LEADERSHIP,Linda Munro,EMS,Middle,A,90.3,98.88,56.1,A,17.1,A,12.5,A,.,.,4.6,C,B,.
27Q319,27,VILLAGE ACADEMY,Doris Lee,EMS,Middle,B,53.9,41.85,24.7,C,12.6,B,12.4,A,.,.,4.2,B,B,.
27Q323,27,Scholars' Academy,Brian O'connell,EMS,Middle,A,78.1,91.29,41.1,A,22,A,12.8,A,.,.,2.1,A,A,A
27Q323,27,Scholars' Academy,Brian O'connell,HS,High School,A,85,93.5,45,A,17.8,A,12.7,A,9.5,A,0,A,A,
27Q324,27,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,Jennifer Connolly,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
27Q333,27,Goldie Maple Academy,Angela Logan-Smith,EMS,K-8,C,44.5,17.68,20.9,C,10.2,C,11.6,A,.,.,1.8,C,A,C
27Q351,27,Rockaway Collegiate High School,Robert Young Jr,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
27Q400,27,August Martin High School,"Smith, Gillian",HS,High School,F,28.8,1.08,9.1,F,7.3,D,6.2,D,3.6,C,2.59,D,D,C
27Q410,27,Beach Channel High School,David Morris,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,F
27Q475,27,Richmond Hill High School,Wayne Anderson,HS,High School,D,40.4,5.42,19.2,D,7,D,6.5,D,3.9,C,3.72,C,D,C
27Q480,27,John Adams High School,Daniel Scanlon,HS,High School,D,46.3,10.3,22.3,C,8,C,7.3,C,4.4,C,4.32,C,C,B
27Q487,27,John Adams Yabc,Edita Volovodovskaya,YABC,YABC,B,70.7,.,35.9,A,11.6,B,12.3,A,5.3,B,5.59,A,A,A
27Q650,27,"High School for Construction Trades, Engineering and Architecture",Lakeisha Gordon,HS,High School,A,73.8,76.15,41.8,A,16.3,A,8.8,C,6.1,B,0.76,B,A,A
28Q008,28,J.H.S. 008 Richard S. Grossley,Angela Green,EMS,Middle,B,56.4,48.03,33.3,B,13.7,B,5.8,D,.,.,3.6,C,C,C
28Q030,28,P.S. 030 Queens,Judith James,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,,.,D
28Q040,28,P.S. 040 Samuel Huntington,Alison Branker,EMS,Elementary,C,42.9,24.75,27.9,B,6.7,D,6.1,B,.,.,2.2,D,B,D
28Q048,28,P.S. 048 William Wordsworth,Patricia M. Mitchell,EMS,Elementary,B,51.1,48.36,34.2,B,7.9,C,5.8,C,.,.,3.1,C,D,C
28Q050,28,P.S. 050 Talfourd Lawn Elementary School,Rina Manjarrez,EMS,Elementary,C,42,22.3,21.5,C,14.6,B,4,C,.,.,1.9,B,B,B
28Q054,28,P.S. 054 Hillside,Anita Prashad,EMS,Elementary,D,32.2,5.25,16.5,D,9,C,4.6,C,.,.,2.1,B,C,C
28Q055,28,P.S. 055 Maure,Ralph K Honore,EMS,Elementary,C,41.4,21.15,30.4,B,3.6,F,5.1,C,.,.,2.3,D,A,C
28Q072,28,Catherine & Count Basie Middle School 72,Omotayo Cineus,EMS,Middle,C,49.6,30.9,27.7,C,11.3,C,7.2,C,.,.,3.3,C,C,C
28Q080,28,P.S. 080 Thurgood Marshall Magnet,Kersandra Cox,EMS,Elementary,C,38.5,13.77,20.2,C,12,B,3.4,C,.,.,2.9,B,F,C
28Q082,28,P.S. 082 Hammond,Dr. Angela Boykin,EMS,Elementary,C,38.3,13.11,24.3,C,7.2,C,4,C,.,.,2.8,B,C,B
28Q086,28,P.S. Q086,Karen Zuvic,EMS,Elementary,B,51.3,49.18,33.9,B,8.5,C,5.5,C,.,.,3.4,C,C,B
28Q099,28,P.S. 099 Kew Gardens,Paulette Foglio,EMS,Elementary,B,54.8,60.66,29.8,B,12.7,B,9.4,A,.,.,2.9,A,A,A
28Q101,28,P.S. 101 School in the Gardens,Monique Lopez-Paniagua,EMS,Elementary,B,59.4,72.3,37.8,A,17.6,A,2.9,C,.,.,1.1,C,C,B
28Q117,28,P.S. 117 J. Keld / Briarwood School,Paula Cunningham,EMS,Elementary,C,42.4,23.44,24.8,C,10,C,5.7,C,.,.,1.8,B,C,B
28Q121,28,P.S. 121 Queens,Evelyn Vadi,EMS,Elementary,C,44.1,28.36,22.3,C,12.7,B,7.8,B,.,.,1.3,A,B,A
28Q139,28,P.S. 139 Rego Park,Monica Bridget Powers-Meade,EMS,Elementary,C,47.4,35.41,25.7,C,15.5,B,4.2,C,.,.,2,B,B,C
28Q140,28,P.S. 140 Edward K Ellington,David Norment,EMS,Elementary,C,41.4,21.15,25.7,C,5.3,D,7.1,B,.,.,3.3,F,C,C
28Q144,28,P.S. 144 Col Jeromus Remsen,Reva Gluck Schneider,EMS,Elementary,B,55.4,61.97,31.5,B,14.2,B,8,B,.,.,1.7,B,A,B
28Q157,28,J.H.S. 157 Stephen A. Halsey,Vincent Suraci,EMS,Middle,B,66.2,71.63,34.8,B,17.2,A,9.1,B,.,.,5.1,A,B,A
28Q157,28,J.H.S. 157 Stephen A. Halsey,Vincent Suraci,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
28Q160,28,P.S. 160 Walter Francis Bishop,Jermaine Garden,EMS,Elementary,C,36.7,10.33,17.4,D,7.9,C,9.2,A,.,.,2.2,C,C,B
28Q161,28,P.S. 161 Arthur Ashe School,Jill Hoder,EMS,Elementary,A,64.7,81.8,34.2,B,15.7,A,12.2,A,.,.,2.6,B,A,A
28Q167,28,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Damon Mccord,EMS,Middle,B,59.5,53.93,28.4,B,14.8,B,12.5,A,.,.,3.8,A,.,.
28Q167,28,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Damon Mccord,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
28Q174,28,P.S. 174 William Sidney Mount,Karin Kelly,EMS,Elementary,C,37.2,10.98,21.5,C,10.7,B,3.5,C,.,.,1.5,B,C,B
28Q175,28,P.S. 175 The Lynn Gross Discovery School,Patricia Cooper,EMS,Elementary,C,38.6,14.1,22.4,C,7.2,C,6.9,B,.,.,2.1,B,B,A
28Q182,28,P.S. 182 Samantha Smith,Andrew Todd Topol,EMS,Elementary,C,47.6,36.07,31.4,B,9.9,C,3,C,.,.,3.3,C,C,D
28Q190,28,J.H.S. 190 Russell Sage,Marilyn Grant,EMS,Middle,B,60.6,56.74,32.6,B,16.8,A,7.7,C,.,.,3.5,B,B,C
28Q196,28,P.S. 196 Grand Central Parkway,Susan Migliano,EMS,Elementary,A,65,82.46,34.6,B,19.8,A,9.1,A,.,.,1.5,A,A,A
28Q206,28,P.S. 206 The Horace Harding School,Joan Thomas,EMS,Elementary,B,51.8,51.15,34.7,B,7.7,C,7,B,.,.,2.4,D,B,C
28Q217,28,J.H.S. 217 Robert A. Van Wyck,Patrick Michael Burns,EMS,Middle,B,61,57.58,31,B,15,B,11.2,B,.,.,3.8,B,A,B
28Q220,28,P.S. 220 Edward Mandel,Josette Pizarro,EMS,Elementary,B,57.1,66.39,39.4,A,9.3,C,5.8,C,.,.,2.6,C,C,A
28Q284,28,York Early College Academy,Deborah Burnett,EMS,Middle,B,62.8,62.36,31.7,B,15.8,B,11.6,A,.,.,3.7,C,C,B
28Q284,28,York Early College Academy,Deborah Burnett,HS,High School,A,76.4,81.84,38.6,A,17,A,11.8,A,8.8,A,0.23,,,
28Q303,28,The Academy for Excellence through the Arts,Barbara Leto,EC,K-3,A,61.5,.,28.5,A,18.8,B,11.3,B,.,.,2.9,A,.,.
28Q310,28,Queens Collegiate: A College Board School,Jaime Anne Dubei,EMS,Middle,B,65.8,70.22,36.2,B,15.5,B,9.7,B,.,.,4.4,C,C,.
28Q310,28,Queens Collegiate: A College Board School,Jaime Anne Dubei,HS,High School,B,65.6,57.45,34.7,B,11.4,C,8.4,C,6,B,5.1,A,,
28Q325,28,HILLSIDE ARTS & LETTERS ACADEMY,Matthew C. Ritter,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
28Q328,28,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,Carlos Borrero,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
28Q338,28,Queens Satellite High School for Opportunity,Mark Melkonian,HST,High School Transfer,C,53.2,.,32.1,B,2.4,C,10.3,C,2.3,C,6.07,D,,
28Q350,28,Jamaica Gateway to the Sciences,Caren Birchwood Taylo,HS,High School,A,71,71.27,35,B,16.2,A,10.8,B,7.9,A,1.11,A,,
28Q354,28,PS 354,Jermaine Green,EC,K-3,.,.,.,.,.,.,.,.,.,.,.,.,,,
28Q440,28,Forest Hills High School,Saul Gootnick,HS,High School,A,70.2,67.75,35.7,B,14,B,9.5,C,6.5,B,4.45,A,A,A
28Q470,28,Jamaica High School,Enric Kendall,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,D
28Q505,28,Hillcrest High School,Stephen Duch,HS,High School,B,66.2,60.16,30.4,B,11.3,C,12.4,A,6.1,B,5.98,B,A,C
28Q620,28,Thomas A. Edison Career and Technical Education High School,Moses Ojeda,HS,High School,A,70.8,70.46,33.3,B,15.6,A,11.3,B,6.7,B,3.89,A,A,A
28Q680,28,Queens Gateway to Health Sciences Secondary Scho,Judy Henry,EMS,Middle,B,64.8,68.82,35.5,B,19,A,7.9,C,.,.,2.4,B,C,B
28Q680,28,Queens Gateway to Health Sciences Secondary School,Judy Henry,HS,High School,A,78.5,85.64,47.6,A,15.4,A,7.4,C,8,A,0.07,B,B,B
28Q686,28,QUEENS METROPOLITAN HIGH SCHOOL,Gregory Dutton,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
28Q687,28,Queens High School for the Sciences at York College,David Marmor,HS,High School,A,86.4,95.66,47.7,A,17.6,A,11.7,A,9.3,A,0,A,A,A
28Q690,28,High School for Law Enforcement and Public Safety,Diahann E. Malcolm,HS,High School,C,54.9,26.29,22.6,C,12.1,B,10.8,B,5.1,C,4.25,B,B,B
28Q896,28,"Young Women's Leadership School, Queens",Avionne Gumbs,EMS,Middle,C,32,4.78,14.1,D,12,B,4,F,.,.,1.9,C,C,C
28Q896,28,"Young Women's Leadership School, Queens",Avionne Gumbs,HS,High School,B,59.1,37.13,31.2,B,14.3,B,4.5,D,7.3,A,1.78,B,C,
29Q015,29,P.S. 015 Jackie Robinson,Antonio K'tori,EMS,Elementary,C,43.4,26.07,26.1,C,9.1,C,7.3,B,.,.,0.9,C,B,C
29Q033,29,P.S. 033 Edward M. Funk,Erich Wagner,EMS,Elementary,C,41,20.49,20.7,C,7.4,C,10.3,A,.,.,2.6,C,C,C
29Q034,29,P.S. 034 John Harvard,Pauline Shakespeare,EMS,Elementary,B,49.9,43.77,28.9,B,12.9,B,5.3,C,.,.,2.8,B,A,B
29Q035,29,P.S. 035 Nathaniel Woodhull,Mark Dempsey,EMS,Elementary,B,49,40.66,34.1,B,10.8,B,2.3,D,.,.,1.8,C,D,D
29Q036,29,P.S. 036 Saint Albans School,Lynn Staton,EMS,Elementary,C,42.3,23.11,24.2,C,7.9,C,8.3,B,.,.,1.9,C,B,D
29Q037,29,Cynthia Jenkins School,Beverly Mitchell,EMS,Elementary,C,45.4,30.82,30.4,B,7.2,C,5.6,C,.,.,2.2,D,B,C
29Q038,29,P.S. 038 Rosedale,Cassandra A. Hundley,EMS,Elementary,B,53.3,56.39,36.2,A,10.6,C,3.6,C,.,.,2.9,B,C,B
29Q052,29,P.S. 052 Queens,Linda Pough,EMS,Elementary,B,52.6,53.61,28.9,B,14.1,B,7.1,B,.,.,2.5,C,B,A
29Q059,29,I.S. 059 Springfield Gardens,Carleton Gordon,EMS,Middle,C,49.7,31.74,31.5,B,9.4,C,5.6,D,.,.,3.2,C,C,C
29Q095,29,P.S. 095 Eastwood,Kim Hill,EMS,Elementary,B,55.2,61.31,31,B,12.3,B,9.6,A,.,.,2.3,A,B,B
29Q109,29,Jean Nuzzi Intermediate School,Karleen Adam Comrie,EMS,Middle,C,51.8,36.52,28,C,14.1,B,7,C,.,.,2.7,B,C,C
29Q116,29,PS/IS 116 William C. Hughley,Debra Farrow,EMS,K-8,D,37.1,6.1,18.2,C,7.4,D,8.5,B,.,.,3,B,C,C
29Q118,29,P.S. 118 Lorraine Hansberry,Cheryl Jones,EMS,Elementary,C,43.1,25.41,27.7,C,9.4,C,2.4,D,.,.,3.6,C,C,C
29Q131,29,P.S. 131 Abigail Adams,Randolph Ford,EMS,Elementary,B,55.4,61.97,29.4,B,15.2,B,9.1,A,.,.,1.6,B,A,B
29Q132,29,P.S. 132 Ralph Bunche,Alicia Davis,EMS,Elementary,B,58,68.52,37.6,A,9.7,C,7.6,B,.,.,3.1,D,C,C
29Q134,29,P.S. 134 Hollis,Robert Chambers,EMS,Elementary,C,38.3,13.11,25.2,C,7.3,C,3.3,C,.,.,2.5,B,C,B
29Q135,29,The Bellaire School,George Hadjoglou,EMS,Elementary,C,39.1,14.92,21.2,C,11.1,B,5.4,C,.,.,1.4,C,B,C
29Q136,29,P.S. 136 Roy Wilkins,Tanya S.T. Walker,EMS,Elementary,C,45.3,30.66,27.6,C,9.1,C,5.6,C,.,.,3,C,B,B
29Q138,29,P.S. 138 Sunrise,James Mc Enaney,EMS,K-8,C,47.9,28.05,29.4,B,7.3,D,8.6,B,.,.,2.6,D,C,C
29Q147,29,PS/MS 147 Ronald McNair,Anne Cohen,EMS,K-8,C,40.6,8.54,20.1,C,8.8,C,8,B,.,.,3.7,C,C,D
29Q156,29,P.S. 156 Laurelton,Noreen Little,EMS,K-8,C,45.2,20.12,32.3,B,6.9,D,2.2,D,.,.,3.8,D,C,C
29Q176,29,P.S. 176 Cambria Heights,Arlene Bartlett,EMS,Elementary,C,45.1,30,21.9,C,15.5,B,6.9,B,.,.,0.7,C,B,C
29Q181,29,P.S. 181 Brookfield,Dina Wheeler,EMS,Elementary,B,53.1,55.9,30,B,10.1,C,8.9,B,.,.,4.1,C,D,C
29Q192,29,I.S. 192 The Linden,Harriett Diaz,EMS,Middle,B,67.2,73.88,34.6,B,14.9,B,13.5,A,.,.,4.1,A,C,B
29Q195,29,P.S. 195 William Haberle,Beryl Bailey,EMS,Elementary,C,48.2,37.7,31,B,7.2,C,6.9,B,.,.,3.1,C,A,D
29Q208,29,P.S. / I.S. 208,James Philemy,EMS,K-8,C,48.8,30.49,23.8,C,13.1,B,9.8,B,.,.,2.1,B,B,B
29Q231,29,I.S. 231 Magnetech 2000,Emmanuel Lubin,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,.,D
29Q238,29,I.S. 238 Susan B Anthony,Peter Leddy,EMS,Middle,C,46.5,23.88,25,C,11.6,B,6.6,C,.,.,3.3,C,B,C
29Q248,29,Queens Preparatory Academy,Tashon Haywood,HS,High School,B,61,44.99,33,B,12.6,B,7.2,C,4.1,C,4.11,B,A,A
29Q251,29,P.S. 251 Queens,Edna Loncke,EC,K-3,B,46.2,.,20.4,B,13.8,B,7.4,C,.,.,4.6,B,B,C
29Q259,29,Pathways College Preparatory School: A College B,Kimberly Mitchell,EMS,Middle,D,31.9,4.49,7.3,F,12,B,9.7,B,.,.,2.9,C,C,C
29Q259,29,Pathways College Preparatory School: A College Board School,Kimberly Mitchell,HS,High School,C,57.8,30.89,25.6,C,11.4,C,10.1,B,6.1,B,4.51,C,B,A
29Q265,29,Excelsior Preparatory High School,Lilly Narine Lucas,HS,High School,A,80.4,88.35,44.1,A,14.1,B,11.9,A,5,C,5.26,A,B,A
29Q268,29,PS/IS 268,Lissa Grant-Stewart,EMS,K-8,C,46.5,23.17,29.6,B,9.4,C,4.4,C,.,.,3.1,C,D,B
29Q270,29,The Gordon Parks School,Chayvonne Harper,EMS,K-8,D,38.3,7.32,16.4,D,11.3,C,6.3,C,.,.,4.3,B,C,C
29Q272,29,George Washington Carver High School for the Sciences,Dr. Janice M. Sutton,HS,High School,C,55.9,27.91,27.3,C,13,B,10.1,B,3,D,2.48,C,B,A
29Q283,29,Preparatory Academy for Writers: A College Board,Charles Anderson,EMS,Middle,B,66.6,73.03,33.6,B,17,A,12,A,.,.,4,B,A,C
29Q283,29,Preparatory Academy for Writers: A College Board School,Charles Anderson,HS,High School,A,80.8,88.62,45.1,A,12.1,B,14,A,6.4,B,3.14,A,C,B
29Q295,29,P.S./I.S. 295,Deon Lavigne,EMS,K-8,B,55.9,49.39,32.9,B,13.6,B,6.5,C,.,.,2.9,C,A,B
29Q326,29,CAMBRIA HEIGHTS ACADEMY,Melissa Menake,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
29Q327,29,EAGLE ACADEMY FOR YOUNG MEN III,Kenyatte Reid,EMS,Middle,C,51.9,36.8,25.3,C,10.8,C,11.5,A,.,.,4.3,C,.,.
29Q355,29,Collaborative Arts Middle School,Tammy Holloway,EMS,Middle,C,48.3,28.37,19.9,C,15.7,B,9,B,.,.,3.6,,.,.
29Q356,29,Community Voices Middle School,Tamra Collins,EMS,Middle,F,26,1.4,11.5,D,6.1,D,6.8,C,.,.,1.6,,.,.
29Q492,29,"Mathematics, Science Research and Technology Magnet High School",Jose Cruz,HS,High School,C,55.8,27.64,27.7,B,12.4,B,4.9,D,7.5,A,3.34,C,C,C
29Q494,29,"Law, Government and Community Service High School",Donna Delfyett White,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,D,D,D
29Q496,29,"Business, Computer Applications & Entrepreneurship High School",Lynne Callender,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,D,C,D
29Q498,29,Humanities & Arts Magnet High School,Rosemarie Omard,HS,High School,B,60.3,40.92,25.1,C,12.1,B,10.7,B,5.4,B,6.98,B,B,C
30Q002,30,P.S. 002 Alfred Zimberg,Joseph Taddeo,EMS,Elementary,D,35.4,8.36,17.6,D,8.5,C,6.3,B,.,.,3,B,B,A
30Q010,30,I.S. 010 Horace Greeley,Clemente Lopes,EMS,Middle,B,60.4,56.18,30,B,15.4,B,10.6,B,.,.,4.4,B,A,B
30Q011,30,P.S. 011 Kathryn Phelan,Anna Efkarpides,EMS,Elementary,B,57.8,67.87,30.6,B,15.6,A,9.6,A,.,.,2,A,A,B
30Q017,30,P.S. 017 Henry David Thoreau,Rebecca Heyward,EMS,Elementary,B,49.8,43.61,30.1,B,8.9,C,7.8,B,.,.,3,C,A,C
30Q069,30,P.S. 069 Jackson Heights,Martha Vazquez,EMS,Elementary,A,69,89.51,42.5,A,17.4,A,6.8,B,.,.,2.2,A,A,A
30Q070,30,P.S. 070 Queens,Donna Geller,EMS,Elementary,B,51.5,50,34,B,11.6,B,3.7,C,.,.,2.2,C,B,C
30Q076,30,P.S. 076 William Hallet,Mary Schafenberg,EMS,Elementary,B,59.5,72.62,36.9,A,11.7,B,5.8,C,.,.,5.1,B,B,A
30Q078,30,P.S. 078,Louis Pavone,EMS,Elementary,A,61.5,77.7,38.7,A,13.4,B,7.9,B,.,.,1.5,A,B,B
30Q084,30,P.S. 084 Steinway,John Buffa,EMS,K-8,C,42.3,11.59,17.7,C,11.1,C,9.9,B,.,.,3.5,C,B,C
30Q085,30,P.S. 085 Judge Charles Vallone,Ann Gordon-Chang,EMS,Elementary,A,67.3,86.72,38.7,A,20.9,A,5.4,C,.,.,2.3,C,C,C
30Q092,30,P.S. 092 Harry T. Stewart Sr.,Pasquale Baratta,EMS,Elementary,B,57.3,66.56,33,B,11,B,10.3,A,.,.,3,A,B,A
30Q111,30,P.S. 111 Jacob Blackwell,Randy Seabrook,EMS,K-8,C,46.6,23.78,29.4,B,7.8,D,5.2,C,.,.,4.1,B,C,C
30Q112,30,P.S. 112 Dutch Kills,Rafael Campos-Gatjens,EMS,Elementary,A,60.3,75.25,39.3,A,12.4,B,5.6,C,.,.,3,A,C,B
30Q122,30,P.S. 122 Mamie Fay,Pamela Sabel,EMS,K-8,A,77.4,95.12,42.6,A,22.4,A,9,B,.,.,3.4,A,A,A
30Q126,30,Albert Shanker School for Visual and Performing,Alexander Angueira,EMS,Middle,C,52.6,37.92,26,C,13.1,B,10.2,B,.,.,3.3,A,B,C
30Q127,30,P.S. 127 Aerospace Science Magne,Evita Sanabria,EMS,K-8,C,49.6,32.93,30,B,12.2,B,3.2,D,.,.,4.2,C,B,B
30Q141,30,I.S. 141 The Steinway,Miranda Pavlou,EMS,Middle,A,75.3,88.48,39,A,20.1,A,11.9,A,.,.,4.3,A,A,A
30Q145,30,I.S. 145 Joseph Pulitzer,Dolores Beckham,EMS,Middle,B,64.3,66.91,35.7,B,12.9,B,11.2,B,.,.,4.5,B,B,B
30Q148,30,P.S. 148 Queens,Andrew Paccione Jr.,EMS,Elementary,C,43.7,27.38,25.4,C,10.1,C,5.4,C,.,.,2.7,B,D,B
30Q149,30,P.S. 149 Christa Mcauliffe,Esther Salorio,EMS,Elementary,C,42.5,23.77,18,D,11.8,B,10.7,A,.,.,2,A,A,B
30Q150,30,P.S. 150 Queens,Carmen Parache,EMS,Elementary,A,80,97.7,49,A,22.3,A,5.2,C,.,.,3.5,A,A,B
30Q151,30,P.S. 151 Mary D. Carter,Jason Goldner,EMS,Elementary,C,46.6,33.93,33.4,B,8,C,1.4,D,.,.,3.8,C,D,C
30Q152,30,Q152 - P.S. 152 Gwendoline N. Alleyne School,Vincent Vitolo,EMS,Elementary,A,60.4,75.74,34.7,B,14.8,B,8.5,B,.,.,2.3,A,A,A
30Q166,30,P.S. 166 Henry Gradstein,Jessica Geller,EMS,Elementary,B,52,51.97,27.4,C,12.7,B,9.6,A,.,.,2.3,A,B,B
30Q171,30,P.S. 171 Peter G. Van Alst,Anne Bussel,EMS,Elementary,C,46.8,34.26,28.4,B,12,B,4.4,C,.,.,2,C,B,C
30Q204,30,I.S. 204 Oliver W. Holmes,Yvonne Leimsider,EMS,Middle,B,62.4,61.52,32.9,B,16.5,A,8.6,C,.,.,4.4,B,C,A
30Q212,30,P.S. 212,Carin Ilene Ellis,EMS,Elementary,B,53,55.57,29.2,B,14.2,B,7.5,B,.,.,2.1,A,A,B
30Q222,30,P.S. Q222 - Fire Fighter Christopher A. Santora,Yvonne Marrero,EC,K-2,B,57,.,26.7,A,19.1,A,6.4,C,.,.,4.8,A,B,A
30Q227,30,I.S. 227 Louis Armstrong,William Fahey,EMS,Middle,A,68.5,76.12,36.6,B,16.5,A,11,B,.,.,4.4,B,A,A
30Q228,30,P.S. 228 Early Childhood Magnet School of the Ar,Olga Guzman,EC,K-2,A,61.6,.,22.7,B,19.6,A,13,A,.,.,6.3,A,A,A
30Q230,30,I.S. 230,Sharon Terry,EMS,Middle,A,68.8,76.69,39.2,A,17.6,A,7.9,C,.,.,4.1,B,B,A
30Q234,30,P.S. 234,Thea Pallos,EMS,Elementary,D,36.3,9.34,15.5,D,9.5,C,9.4,A,.,.,1.9,C,C,A
30Q235,30,Academy for New Americans,Betty Cartagena,EMS,Middle,A,78,91.29,50.9,A,7.6,D,14.6,A,.,.,4.9,A,A,A
30Q286,30,"Young Women's Leadership School, Astoria",Laura A Mitchell,EMS,Middle,B,58.9,52.53,28.3,C,15.8,B,12.9,A,.,.,1.9,C,B,A
30Q286,30,"Young Women's Leadership School, Astoria",Laura A Mitchell,HS,High School,A,74.5,77.78,39,A,15.4,A,12.9,A,5.2,C,2.02,,,
30Q301,30,Academy for Careers in Television and Film,Edgar Rodriguez,HS,High School,A,100.9,99.73,48.9,A,19.3,A,13.9,A,9.4,A,9.41,A,,
30Q445,30,William Cullen Bryant High School,Namita Dwarka,HS,High School,B,60.5,42.28,32.7,B,9.4,C,8.3,C,5.5,B,4.63,C,C,C
30Q450,30,Long Island City High School,Vivian Selenikas,HS,High School,D,46.3,10.3,21.2,C,8.8,C,7.4,C,5,C,3.93,C,C,C
30Q501,30,Frank Sinatra School of the Arts High School,Donna Finn,HS,High School,B,65.1,56.64,36,B,14.8,B,6.1,D,7.1,A,1.04,A,B,A
30Q502,30,Information Technology High School,Joseph Reed,HS,High School,C,57.2,29.81,25.9,C,10.4,C,11.3,B,5.5,B,4.06,C,B,A
30Q555,30,Newcomers High School,Orlando Sarmiento,HS,High School,A,75.9,80.49,34.2,B,15.8,A,9.7,C,7.3,A,8.8,A,A,A
30Q575,30,Academy of American Studies,William Bassell,HS,High School,A,75,79.13,36.6,A,14.9,A,10.5,B,8.6,A,4.42,A,B,A
30Q580,30,Baccalaureate School for Global Education,Kelly Joan Johnson,EMS,Middle,A,68.1,75.56,32.2,B,23.4,A,10.6,B,.,.,1.9,B,B,B
