DBN,School Name,School Type,"Total Parent Response Rate (%)",Total Teacher Response Rate (%),Total Student Response Rate (%),Total Academic Expectations Score,Total Communication Score,Total Engagement Score,Total Safety and Respect Score
84M518,East Harlem Scholars Academy Charter School,ECC,75,100,N/A,8.6,8.6,8.4,8.6
84M522,Broome Street Academy Charter School,HS,27,83,70,7.7,7.5,7.2,7.0
84M523,Success Academy Charter School - Upper West,ECC,60,91,N/A,8.8,8.9,8.6,9.0
84M524,Innovate Manhattan Charter School,MS,22,28,67,6.9,7.3,6.7,6.9
84M702,Sisulu-Walker Charter School of Harlem,ES,50,82,N/A,8.7,9.1,8.5,8.8
84M704,Harbor Science and Arts Charter School,ES/MS,66,78,76,8.9,9.2,8.7,8.9
84M705,Amber Charter School,ES,68,93,N/A,8.4,8.4,7.9,8.8
84M707,John V. Lindsay Wildcat Academy Charter School,HST,49,59,33,8.3,8.4,8.0,8.2
84M708,Harlem Prep Charter School,ES,80,100,93,8.1,8.2,7.0,7.8
84M709,Harlem Village Academy Charter School,ES/MS,74,100,97,8.4,8.4,7.9,8.2
84M726,KIPP STAR College Prep Charter School,ES/MS,48,65,81,8.3,8.1,7.7,7.9
84M861,Future Leaders Institute Charter School,ES/MS,51,100,99,8.1,8.0,7.5,7.6
84M888,Harlem Village Academy HS,HS,52,85,93,7.5,6.6,6.5,7.6
84M999,KIPP NYC College Prep,HS,59,82,88,8.2,8.2,7.7,7.9
84Q083,Central Queens Academy Charter School,MS,92,100,N/A,8.5,8.7,8.1,8.8
84Q170,Peninsula Preparatory Academy Charter School,ES,100,92,N/A,8.6,8.7,8.4,8.8
84Q304,VOICE Charter School of New York,ES,71,90,N/A,8.3,8.4,8.2,8.6
84Q321,Growing Up Green Charter School,ES,60,96,N/A,8.3,8.6,8.3,8.9
84Q340,Challenge Preparatory Charter School,ECC,87,97,N/A,8.6,8.7,8.5,8.6
84Q341,Riverton Street Charter School,ES,44,68,N/A,9.1,9.1,8.7,9.2
84Q342,Rochdale Early Advantage Charter School,ECC,93,100,N/A,8.5,8.9,8.6,9.0
84Q359,Academy of the City Charter School,ECC,40,94,N/A,7.7,7.6,7.5,8.2
84Q704,Merrick Academy - Queens Public Charter School,ES,55,95,100,8.8,8.6,8.1,8.3
84Q705,Renaissance Charter School,ES/MS/HS,63,76,99,7.9,7.9,7.5,8.0
84Q706,Our World Neighborhood Charter School,ES/MS,42,78,99,8.4,8.0,8.0,8.4
84R067,John W. Lavelle Preparatory Charter School,MS/HS,67,97,99,8.6,8.4,7.9,7.9
84R071,Staten Island Community Charter School,ECC,85,96,N/A,8.6,8.7,8.5,8.8
84R073,New World Preparatory Charter School,MS,56,92,97,8.5,8.5,8.0,7.8
84X124,Children's Aid Society Community Charter School,ECC,70,82,N/A,8.7,8.5,8.3,8.7
84X133,Icahn Charter School 6,ECC,86,100,N/A,9.0,9.3,8.8,9.1
84X165,Grand Concourse Academy Charter School,ES,80,100,N/A,9.1,8.9,8.9,9.2
84X177,MOTT HALL CHARTER SCHOOL,MS,92,100,97,8.5,8.7,8.2,8.3
84X185,Bronx Lighthouse Charter School,ES/MS/HS,90,100,93,8.0,8.1,7.5,7.9
84X200,ROADS Charter School II,HS,13,100,39,8.3,8.1,7.8,7.7
84X202,New Visions Charter High School for Advanced Math and Science II,HS,65,92,93,8.2,8.4,7.6,7.6
84X208,New Visions Charter High School for the Humanities II,HS,50,87,94,8.2,8.0,7.4,7.7
84X233,Family Life Academy Charter School II,ECC,9,62,N/A,8.9,8.9,8.6,8.9
84X255,Bronx Charter School for Excellence,ES/MS,85,98,100,8.5,8.3,7.7,8.2
84X256,Heketi Community Charter School,ECC,97,88,N/A,8.4,8.4,8.2,8.9
84X258,Tech International Charter School,MS,100,90,100,7.6,7.9,7.6,7.8
84X309,South Bronx Charter School for International Cultures and the Arts,ES,86,100,N/A,8.7,8.7,8.4,8.7
84X345,Hyde Leadership Charter School,ES/MS/HS,49,93,93,7.6,7.4,7.2,7.5
84X346,South Bronx Classical Charter School,ES,93,86,N/A,8.1,7.9,6.9,8.0
84X347,International Leadership Charter High School,HS,55,91,56,8.2,8.0,7.1,8.1
84X378,Icahn Charter School 2,ES/MS,90,100,0,9.0,9.0,8.4,9.0
84X389,Bronx Global Learning Institute for Girls Charter School,ES,84,91,N/A,8.5,8.4,8.3,8.8
84X393,Green Dot New York Charter School,HS,50,97,90,8.8,8.6,7.9,8.3
84X394,Mott Haven Academy Charter School,ES,67,90,N/A,8.6,8.6,8.4,8.6
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries (AECI)",HS,52,97,95,7.9,8.0,7.2,7.7
84X398,Bronx Community Charter School,ES,87,91,N/A,8.5,8.6,8.6,8.7
84X407,Bronx Charter School for Children,ES,70,44,N/A,8.4,8.4,8.0,8.9
84X419,Bronx Academy of Promise Charter School,ES,76,100,98,8.8,8.7,8.4,9.0
84X422,Icahn Charter School 3,ES,47,88,100,8.5,8.5,7.9,8.1
84X461,Metropolitan Lighthouse Charter School,ES,87,100,N/A,8.1,8.1,7.8,8.4
84X482,Dr. Richard Izquierdo Health and Science Charter School,MS,72,100,97,7.8,7.8,7.1,7.7
84X487,Girls Preparatory Charter School of the Bronx,ES,82,92,N/A,8.4,8.9,8.3,8.9
84X488,The Equality Charter School,MS,80,100,97,9.0,9.0,8.7,8.5
84X491,Academic Leadership Charter School,ES,94,100,N/A,8.2,7.9,7.5,8.5
84X493,Success Academy Charter School - Bronx 1,ECC,78,100,N/A,9.0,9.4,9.0,9.2
84X494,Success Academy Charter School - Bronx 2,ECC,63,97,N/A,9.0,8.7,8.6,9.0
84X496,Icahn Charter School 4,ES,90,100,N/A,9.1,9.3,9.1,9.1
84X538,Icahn Charter School 5,ECC,53,100,N/A,8.7,8.6,8.2,8.8
84X539,New Visions Charter High School for Advanced Math and Science,HS,39,91,61,7.9,8.0,7.4,7.4
84X553,New Visions Charter High School for the Humanities,HS,27,29,70,7.9,8.2,7.6,7.4
84X554,New York City Montessori Charter School,ECC,34,55,N/A,7.5,7.9,7.7,8.1
84X703,Bronx Preparatory Charter School,MS/HS,51,90,84,7.7,7.7,7.3,7.8
84X704,KIPP Academy Charter School,ES/MS,62,70,94,8.6,8.4,8.1,8.5
84X705,Family Life Academy Charter School,ES/MS,99,90,100,9.0,9.1,8.8,9.0
84X706,Harriet Tubman Charter School,ES/MS,92,73,95,8.6,8.6,8.2,8.4
84X717,Icahn Charter School,ES/MS,77,100,100,8.9,9.0,8.5,8.5
84X718,Bronx Charter School for Better Learning,ES,66,100,N/A,8.3,8.5,8.1,8.6
84X730,Bronx Charter School for the Arts,ES,37,58,N/A,7.8,7.6,7.5,8.2
