air/rh_and_dp_daily_summary.o3_AQI,air/rh_and_dp_daily_summary.f0_,air/rh_and_dp_daily_summary.f1_,air/rh_and_dp_daily_summary.f2_,air/rh_and_dp_daily_summary.f3_,air/rh_and_dp_daily_summary.f4_,air/rh_and_dp_daily_summary.f5_,air/rh_and_dp_daily_summary.f6_,Day
,71.43902439024394,5.51219512195122,16.868292682926835,99.73658536585366,Maryland,Anne Arundel,Fort Meade (U.S. Army),1996-10-12
,73.7060773480663,7.530386740331499,23.92541436464089,99.6933701657459,California,Inyo,Independence,2008-06-22
,79.8315192743764,7.541950113378686,23.84126984126984,99.34013605442172,Indiana,Porter,Dune Acres,2020-03-21
,73.55479452054787,8.986301369863012,23.71232876712329,98.81506849315072,Georgia,DeKalb,Not in a city,1997-01-14
,81.78595317725755,8.85284280936455,23.94648829431439,99.77926421404686,North Carolina,Mecklenburg,Charlotte,2005-10-02
,81.64221105527632,6.763819095477381,23.87688442211055,99.48994974874373,California,Inyo,Independence,2010-06-11
,75.77130801687773,7.200421940928269,23.765822784810123,99.03375527426152,Indiana,Porter,Dune Acres,2018-09-28
,74.35341880341889,8.997863247863252,23.81837606837605,99.25000000000009,Indiana,Porter,Dune Acres,2017-05-01
,84.55399061032867,8.399061032863845,23.76056338028169,99.00938967136156,California,Kern,Arvin,2001-12-04
,73.32824427480915,5.557251908396945,23.83206106870228,99.3129770992366,California,Fresno,Parlier,1995-12-04
,77.66552511415527,8.182648401826482,23.92922374429224,99.71232876712328,Idaho,Idaho,Not in a city,2013-10-22
,81.67409909909918,7.930180180180179,23.750000000000007,98.9684684684684,California,Inyo,Independence,2013-05-08
,51.21348314606742,5.168539325842697,14.011235955056176,99.30337078651684,Arizona,Cochise,Not in a city,1991-01-16
,74.77037037037034,6.141612200435728,23.95642701525055,99.82135076252732,Indiana,Porter,Dune Acres,2019-06-29
,69.80219780219778,8.406593406593407,23.989010989010996,99.95604395604396,California,Del Norte,Redwood National Park,1993-07-16
,62.04424778761063,8.823008849557521,23.76106194690266,99.00884955752215,Arizona,Pima,Tucson,1995-03-28
,74.2896226415094,9.716981132075464,23.79009433962265,99.12735849056604,Idaho,Idaho,Not in a city,2014-04-18
,63.83333333333334,9.454545454545457,23.969696969696965,99.87878787878786,Washington,Clallam,Not in a city,1991-08-23
,78.93388429752065,5.289256198347105,20.21900826446283,99.301652892562,California,Kern,Arvin,2000-08-28
,67.8371428571429,5.22571428571429,15.425714285714278,99.59714285714288,California,Kern,Arvin,2001-05-04
,76.94202898550726,7.48188405797102,23.89492753623188,99.56884057971013,North Carolina,Mecklenburg,Charlotte,2005-03-03
,69.0796460176991,8.486725663716813,23.867256637168147,99.4513274336283,California,Fresno,Clovis,1994-07-11
,79.34724999999993,9.855000000000002,23.880000000000003,99.50249999999994,California,Inyo,Independence,2011-01-29
,81.61451612903231,6.2511520737327135,23.80645161290324,99.20506912442394,Indiana,Jasper,Not in a city,2015-07-21
,67.8684210526316,7.701754385964912,23.473684210526315,97.83333333333331,Arizona,Pima,Tucson,1995-03-09
,65.82989690721648,5.376288659793817,16.26288659793813,99.87628865979384,Arizona,Pima,Tucson,1995-04-29
,69.11864406779654,10.446327683615824,23.887005649717505,99.53107344632764,California,Kern,Arvin,1999-04-19
,62.02995495495496,9.957207207207215,23.806306306306293,99.19819819819809,Indiana,Porter,Dune Acres,2020-12-08
,84.29767441860469,8.958139534883719,23.693023255813944,98.72558139534884,California,Kern,Arvin,2001-12-11
,73.46697459584297,7.468822170900689,23.972286374133947,99.8868360277136,Arizona,Pima,Not in a city,2021-08-28
,38.45098039215685,11.568627450980394,24.0,100.0,Texas,El Paso,El Paso,1991-01-11
,70.03389830508479,7.101694915254238,23.84745762711864,99.364406779661,Arizona,Pima,Tucson,1995-05-21
,82.02577319587627,6.345360824742271,23.664948453608247,99.10309278350518,California,Kern,Arvin,2000-11-01
,71.54163179916326,7.050209205020921,23.910041841004176,99.63179916317986,Idaho,Idaho,Not in a city,2018-06-05
,69.5790884718499,6.5335120643431575,15.134048257372651,99.2922252010724,California,Kern,Arvin,2002-02-10
,83.04332129963905,7.761732851985564,23.545126353790607,98.11552346570394,North Carolina,Mecklenburg,Charlotte,2004-08-26
,78.68954248366012,7.307189542483659,23.94117647058825,99.75816993464052,North Carolina,Mecklenburg,Charlotte,2005-08-06
,66.50549450549445,8.912087912087914,24.0,100.0,California,Del Norte,Redwood National Park,1993-05-28
,74.70298165137616,7.178899082568804,23.977064220183475,99.90596330275233,Arizona,Pima,Not in a city,2021-07-19
,81.60847826086962,12.76304347826087,23.75,98.9652173913044,Indiana,Porter,Dune Acres,2018-02-14
,74.85029585798812,6.665680473372776,23.970414201183445,99.88165680473378,North Carolina,Mecklenburg,Charlotte,2007-05-18
,71.40109890109895,8.134615384615381,23.91483516483517,99.64835164835166,California,Inyo,Independence,2009-12-10
,81.93594936708865,5.825316455696208,23.86329113924051,99.43797468354433,California,Inyo,Independence,2010-06-14
,52.65048543689323,11.708737864077667,23.728155339805827,98.87378640776696,Arizona,Pima,Tucson,1994-01-11
,75.46107784431135,6.736526946107785,23.5868263473054,98.2814371257485,California,Kern,Arvin,1999-03-01
,71.38734177215197,5.0405063291139225,15.43797468354429,99.506329113924,California,Kern,Arvin,2002-05-20
,66.2830188679245,10.389937106918245,23.465408805031444,97.77987421383644,Maryland,Anne Arundel,Not in a city,1997-04-11
,79.13125000000001,9.524999999999991,23.624999999999996,98.45,California,Shasta,Not in a city,1997-10-24
,77.14285714285717,7.507936507936505,23.936507936507944,99.74206349206352,California,Kern,Arvin,2002-05-04
,70.44933333333333,6.480000000000001,23.691111111111116,98.72888888888887,Indiana,Porter,Dune Acres,2020-09-17
,82.4287581699346,7.995642701525046,23.75381263616556,98.97385620915028,Indiana,Porter,Dune Acres,2019-02-11
,76.46712962962964,6.53240740740741,23.96064814814813,99.83564814814812,Arizona,Pima,Not in a city,2021-09-04
,78.15210355987051,6.148867313915855,15.864077669902898,99.59546925566342,California,Kern,Arvin,2001-01-28
,88.27860696517405,9.238805970149256,23.6915422885572,98.73134328358208,California,Kern,Arvin,2001-02-14
,74.32671081677702,4.823399558498897,14.951434878587207,99.53421633554083,North Carolina,Mecklenburg,Charlotte,2004-08-01
