air/hap_daily_summary.o3_AQI,air/hap_daily_summary.f0_,air/hap_daily_summary.f1_,air/hap_daily_summary.f2_,air/hap_daily_summary.f3_,air/hap_daily_summary.f4_,air/hap_daily_summary.f5_,air/hap_daily_summary.f6_,Day
,1.89475,18.999999999999996,11.63888888888889,96.52777777777776,Maine,Cumberland,Not in a city,2003-05-26
,3.218532268041237,13.30927835051546,12.979381443298973,73.36082474226804,Vermont,Chittenden,Burlington,2008-07-25
,0.2102637127158555,0.2613814756671898,1.2998430141287285,99.58084772370486,Illinois,Cook,Northbrook,2004-03-01
,1.6820571428571434,14.714285714285712,12.653061224489791,88.18367346938778,California,Alameda,Livermore,2014-05-22
,2.62,0.0,1.0,100.0,Kansas,Wyandotte,Kansas City,1990-03-26
,2.325860472440946,8.763779527559057,7.551181102362206,79.74015748031492,Connecticut,Hartford,East Hartford,2003-07-16
,2.743898275862068,4.534482758620691,13.844827586206906,90.34482758620688,Pennsylvania,Allegheny,Liberty,2011-01-29
,4.977368421052633,7.499999999999999,16.657894736842103,94.84210526315788,Illinois,Cook,Northbrook,2006-10-06
,0.3419010016632779,0.4533357974496405,1.0766956200332627,99.90537793383858,Maine,Cumberland,Not in a city,2003-05-21
,12.745,18.5,21.0,88.0,Texas,El Paso,El Paso,1996-03-31
,5.165400000000001,0.45,3.25,95.05,Texas,Harris,Houston,1994-12-02
,0.1213260847333823,0.2885317750182614,1.4236669101533974,99.1110299488678,California,Alameda,Livermore,2012-03-31
,1.5923333333333334,0.0,1.0,100.0,Kansas,Wyandotte,Kansas City,1990-04-15
,2.71084,9.55,16.325,86.95,Indiana,Marion,Indianapolis (Remainder),2010-12-11
,4.207536,5.719999999999999,13.600000000000003,95.16,California,Alameda,Livermore,2013-10-02
,0.6314343568394246,0.4356839422259964,1.1525913338997456,99.68003398470692,California,Fresno,Parlier,2006-09-08
,1.451888888888889,0.0,1.0,100.0,Colorado,Adams,Commerce City,1992-01-05
,0.0010337301587301,0.0,1.0,100.0,Alabama,Lawrence,Moulton,1993-01-02
,3.6830769230769222,10.076923076923077,21.0,87.84615384615385,Indiana,Lake,Gary,2014-02-09
,1.737097701149425,6.425287356321839,11.908045977011495,93.5632183908046,California,Alameda,Livermore,2014-08-22
,0.7371886349598503,0.1575046324891905,1.0568252007412005,99.48486720197664,Indiana,Lake,Gary,1996-11-29
,4.0959090909090925,9.545454545454543,6.727272727272728,83.12727272727274,District Of Columbia,District of Columbia,Washington,1995-07-30
,0.583623163213746,0.0485093481556342,1.0308236483072266,99.85144012127348,Massachusetts,Essex,Lynn,1995-03-22
,0.4942868092566619,0.8127629733520335,1.825385694249652,97.68373071528764,Connecticut,New Haven,New Haven,2004-07-29
,1.4071736263736263,13.329670329670334,12.934065934065938,85.56043956043955,California,Alameda,Livermore,2013-06-02
,1.179875,6.416666666666666,19.374999999999996,84.75000000000001,California,Alameda,Livermore,2015-05-16
,1.3294814814814813,0.8148148148148149,1.7777777777777777,99.70370370370372,Indiana,Allen,Not in a city,1994-02-18
,2.372310714285715,12.157142857142851,6.228571428571427,91.94285714285712,Illinois,Cook,Northbrook,2004-01-27
,0.3994499916317993,0.7615062761506273,2.220920502092047,97.8778242677826,Vermont,Chittenden,Burlington,2008-06-20
,3.3269044736842104,7.289473684210527,15.078947368421051,95.05263157894736,Texas,El Paso,El Paso,2016-05-17
,2.9644206896551726,8.89655172413793,16.44827586206896,88.55172413793103,Colorado,Denver,Denver,2006-01-16
,1.0079676852383697,0.8925904652498556,1.62952326249282,96.03159103963232,Maine,Hancock,Not in a city,1998-06-28
,8.082608695652171,8.043478260869566,20.695652173913047,86.60869565217392,Indiana,Marion,Indianapolis (Remainder),2007-02-04
,1.3549499999999997,6.716666666666666,8.591666666666661,95.7,Connecticut,Fairfield,Westport,2002-07-11
,0.0293913402061855,0.0584192439862543,1.079037800687286,100.0,Alabama,Lawrence,Moulton,1993-12-29
,3.140500000000001,3.4,1.725,53.2,Alabama,Jefferson,Pinson,1993-06-08
,0.5179105474452551,0.5693430656934307,1.0,91.74452554744528,Alaska,Denali ,Not in a city,1990-07-25
,0.3997132060849598,0.25028702640643,1.2198622273249091,99.63662456946037,California,Alameda,Livermore,2020-06-08
,0.4940470901639348,0.1593539054966247,1.0793153326904494,99.9597396335584,Texas,Ector,Odessa,2002-01-14
,0.0560346591820368,0.0946271050521251,1.238171611868485,99.49639133921404,Colorado,Weld,Platteville,2019-12-08
,0.1622739452495972,0.2157809983896939,1.4645732689210982,99.77858293075684,Indiana,Marion,Indianapolis (Remainder),2009-12-30
,0.7639461222967929,0.3400447427293063,1.0693512304250563,98.46756152125272,Alabama,Lawrence,Moulton,1993-08-11
,3.97285,5.61904761904762,6.952380952380952,82.73809523809524,Maine,Cumberland,Not in a city,1997-05-30
,0.3641247312908081,0.0673028628829733,1.0703164239075844,99.97790055248632,Michigan,Wayne,Detroit,2001-12-09
,1.9686949056603764,8.245283018867923,9.764150943396224,97.122641509434,Connecticut,Fairfield,Westport,2001-08-18
,0.297946393001346,0.1238223418573351,1.3216689098250352,99.66352624495296,Michigan,Wayne,Detroit,2001-02-21
