air/no2_daily_summary.o3_AQI,air/no2_daily_summary.f0_,air/no2_daily_summary.f1_,air/no2_daily_summary.f2_,air/no2_daily_summary.f3_,air/no2_daily_summary.f4_,air/no2_daily_summary.f5_,air/no2_daily_summary.f6_,Day
18.62397820163487,19.817166212534055,11.869209809264309,23.3215258855586,97.2452316076294,North Dakota,Mercer,Not in a city,2009-02-14
16.64819277108431,17.88361445783135,11.366265060240965,22.881927710843367,95.4433734939759,Wyoming,Sweetwater,Not in a city,2014-09-15
18.469879518072293,19.890120481927728,12.337349397590351,23.477108433734937,97.89638554216867,Wyoming,Sweetwater,Not in a city,2018-02-03
17.9114832535885,19.216985645933,11.308612440191386,23.160287081339707,96.59090909090908,Wyoming,Sweetwater,Not in a city,2014-09-26
16.35944700460829,17.67119815668202,11.241935483870964,22.774193548387096,94.98156682027653,Wyoming,Sweetwater,Not in a city,2019-09-24
29.023746701846964,30.70870712401056,12.59630606860159,22.98416886543536,95.86279683377305,North Dakota,Mercer,Not in a city,2007-12-18
13.273224043715844,14.123224043715853,10.18032786885245,22.907103825136637,95.56557377049188,North Dakota,Mercer,Not in a city,2009-06-28
14.1826923076923,15.295673076923068,10.194711538461538,23.009615384615397,95.95673076923076,Wyoming,Sweetwater,Not in a city,2014-07-25
30.89795918367348,32.623979591836715,12.95663265306122,22.89030612244899,95.45408163265311,North Dakota,Mercer,Not in a city,2002-12-05
30.219020172910657,31.93976945244958,12.9193083573487,22.933717579250725,95.66858789625364,North Dakota,Steele,Sharon,1994-10-13
24.37226277372262,25.746715328467147,11.927007299270068,23.01703163017031,95.98783454987834,California,Fresno,Fresno,2003-05-22
30.126288659793808,31.89664948453608,13.07474226804124,23.010309278350512,95.971649484536,North Dakota,Mercer,Beulah,1997-05-16
23.87979539641944,25.286956521739143,11.877237851662391,22.98976982097186,95.86956521739133,Puerto Rico,Catano,Catano,2006-10-03
26.87249999999999,28.426749999999988,11.342500000000005,22.765,94.96500000000006,Puerto Rico,Catano,Catano,2005-09-07
30.67868852459018,32.27016393442627,11.901639344262298,23.327868852459027,97.27540983606556,North Dakota,Mercer,Beulah,1990-03-18
24.128851540616235,25.727170868347343,13.030812324929974,23.09243697478992,96.31092436974792,Wyoming,Sweetwater,Not in a city,2011-01-21
18.64425770308123,19.933333333333334,9.666666666666668,22.649859943977617,94.47338935574231,Wyoming,Sweetwater,Not in a city,2011-02-01
23.456632653061227,24.87346938775509,10.604591836734688,22.85204081632652,95.31632653061212,Puerto Rico,Catano,Catano,2006-10-04
20.134803921568636,21.315441176470586,11.473039215686269,23.507352941176464,98.01960784313728,California,Fresno,Fresno,2003-05-17
32.423913043478244,34.31413043478259,11.176630434782613,23.269021739130444,97.01630434782606,North Dakota,Mercer,Beulah,1996-03-10
29.21428571428571,30.89571428571429,15.21142857142857,23.514285714285723,98.04285714285716,North Dakota,Mercer,Beulah,1994-11-11
24.358536585365854,25.77853658536585,12.463414634146345,22.9390243902439,95.67560975609756,North Dakota,Mercer,Not in a city,2004-04-13
33.6903225806452,35.56774193548387,9.835483870967735,22.793548387096763,95.08387096774192,North Dakota,Mercer,Beulah,1990-04-04
22.60750000000001,23.94150000000001,11.830000000000004,22.962499999999995,95.76499999999996,North Dakota,Mercer,Not in a city,2003-08-19
17.696721311475404,18.974043715847,9.112021857923496,22.669398907103822,94.5491803278688,Wyoming,Sweetwater,Not in a city,2011-09-13
18.345794392523366,19.723364485981303,10.586448598130843,23.021028037383186,96.00233644859814,Pennsylvania,Tioga,Not in a city,2015-10-16
37.04430379746836,39.11930379746836,14.246835443037972,22.76582278481012,94.96835443037962,North Dakota,Mercer,Beulah,1991-12-16
23.315950920245395,25.002453987730057,9.90490797546012,23.3926380368098,97.53987730061348,North Dakota,Mercer,Beulah,1992-12-12
23.748677248677243,25.141798941798942,13.849206349206362,22.98677248677249,95.8148148148148,Puerto Rico,Catano,Catano,2006-11-05
28.20911528150133,29.861394101876677,12.219839142091155,22.911528150134057,95.56032171581764,North Dakota,Mercer,Not in a city,2008-11-24
16.79619565217391,18.01195652173913,11.440217391304344,23.089673913043487,96.29891304347824,Wyoming,Sweetwater,Not in a city,2012-05-11
24.1875,25.610869565217374,13.192934782608695,23.255434782608685,96.96739130434791,North Dakota,Mercer,Beulah,1995-07-09
24.35180055401662,25.805817174515237,12.113573407202214,22.62326869806094,94.37673130193907,North Dakota,Mercer,Beulah,1995-03-01
13.153203342618385,14.116713091922012,12.253481894150406,23.39275766016714,97.5459610027855,Wyoming,Sweetwater,Not in a city,2011-07-04
15.885644768856457,16.821897810218967,10.02676399026764,23.243309002433087,96.91727493917271,Puerto Rico,Catano,Catano,2005-06-10
16.7995391705069,18.12027649769584,11.341013824884794,22.60599078341015,94.27649769585253,Wyoming,Sweetwater,Not in a city,2019-10-02
31.80120481927711,33.524698795180704,12.77108433734939,23.219879518072293,96.83433734939752,North Dakota,Mercer,Beulah,1994-01-28
18.02479338842976,19.327823691460043,12.55922865013774,23.352617079889782,97.36639118457296,Wyoming,Sweetwater,Not in a city,2011-11-25
15.066508313539195,16.223277909738716,9.608076009501175,22.593824228028502,94.45130641330168,Wyoming,Sweetwater,Not in a city,2018-04-30
