air/co_daily_summary.o3_AQI,air/co_daily_summary.f0_,air/co_daily_summary.f1_,air/co_daily_summary.f2_,air/co_daily_summary.f3_,air/co_daily_summary.f4_,air/co_daily_summary.f5_,air/co_daily_summary.f6_,Day
16.830734966592424,1.9416481069042288,9.827394209354129,23.3184855233853,97.20155902004456,Alabama,Jefferson,Birmingham,1990-04-05
7.912643678160918,0.8311494252873572,10.285057471264384,23.404597701149424,97.55172413793098,Alabama,Jefferson,Birmingham,2001-07-27
9.783439490445849,1.0895015906680798,9.00954400848353,23.55355249204667,98.17179215270396,Alabama,Jefferson,Birmingham,2000-04-14
17.974509803921556,1.89400785854617,10.948919449901762,23.166994106090364,96.56679764243611,Alabama,Jefferson,Birmingham,1997-12-01
12.836363636363629,1.2988888888888892,7.538383838383853,23.701010101010077,98.77777777777774,Alabama,Jefferson,Birmingham,1996-06-29
4.483050847457623,0.4503241525423727,7.288135593220336,22.932203389830534,95.61016949152538,Arizona,Maricopa,Buckeye,2021-09-07
18.26418786692759,1.987757100881488,12.125367286973551,23.504407443682695,97.97159647404506,Alabama,Jefferson,Birmingham,1998-11-03
3.3541666666666683,0.3410901213171574,6.351819757365685,22.911611785095307,95.52512998266891,Pennsylvania,York,York,2011-07-13
5.801724137931036,0.594117647058824,7.1219512195122,23.37589670014347,97.44332855093268,Alabama,Jefferson,Fairfield,2007-05-31
4.943319838056682,0.5069171717171712,9.93333333333334,23.63434343434345,98.51111111111106,Arizona,Maricopa,Buckeye,2019-10-19
6.839506172839505,0.6855061728395065,10.831790123456782,23.291666666666654,97.08796296296283,Montana,Gallatin,West Yellowstone,2010-01-22
5.150837988826818,0.4989497206703912,6.729050279329609,23.66201117318437,98.6201117318436,Alabama,Jefferson,Birmingham,2006-07-04
18.882011605415865,2.114023210831718,12.667311411992262,23.36943907156672,97.41005802707932,Alabama,Jefferson,Birmingham,1995-02-09
7.1472684085510725,0.6877817319098453,8.01542111506524,23.65717674970342,98.6037959667852,Alabama,Jefferson,Birmingham,2002-08-18
3.7199999999999993,0.3806927272727273,7.870909090909089,23.20000000000002,96.71454545454544,Pennsylvania,York,York,2017-07-07
12.930097087378645,1.2069902912621373,6.739805825242721,23.538834951456323,98.10291262135924,Alabama,Jefferson,Birmingham,1997-03-30
18.62737642585552,1.951140684410647,10.565589353612165,23.37832699619771,97.44961977186304,Alabama,Jefferson,Birmingham,1996-02-22
