air/temperature_daily_summary.o3_AQI,air/temperature_daily_summary.f0_,air/temperature_daily_summary.f1_,air/temperature_daily_summary.f2_,air/temperature_daily_summary.f3_,air/temperature_daily_summary.f4_,air/temperature_daily_summary.f5_,air/temperature_daily_summary.f6_,Day
,54.07264957264954,13.576923076923082,23.782051282051277,99.09829059829056,North Dakota,Mercer,Not in a city,1991-02-02
,69.45327564894932,12.250927070457353,23.90111248454884,99.59332509270703,Hawaii,Honolulu,Not in a city,2016-11-03
,72.21105263157898,12.740789473684217,23.868421052631557,99.45526315789476,Alaska,Denali ,Not in a city,2010-05-04
,87.91561032863858,14.15845070422535,23.98122065727698,99.92370892018783,Hawaii,Honolulu,Not in a city,2018-07-01
,82.12900485436887,13.80339805825242,23.790048543689306,99.1359223300972,Hawaii,Honolulu,Not in a city,2019-06-25
,91.94196642685854,13.8621103117506,23.931654676258955,99.7194244604317,Hawaii,Honolulu,Not in a city,2016-07-22
,81.30645161290336,13.26881720430108,23.79416282642088,99.14900153609824,Colorado,La Plata,Not in a city,2006-07-05
,42.3659420289855,12.177536231884057,23.90579710144927,99.6086956521739,North Dakota,Mercer,Not in a city,1991-12-25
,63.58695652173914,12.39565217391305,23.808695652173903,99.21304347826089,North Dakota,Mercer,Not in a city,1990-10-28
,64.77318501170957,13.028103044496476,23.987119437939096,99.94730679156906,Hawaii,Honolulu,Not in a city,2017-03-18
,54.049064748201424,14.145323741007196,23.97410071942445,99.89496402877704,Alaska,Denali ,Not in a city,2008-03-17
,73.02631578947376,11.605263157894736,23.887719298245614,99.5350877192982,North Dakota,Williams,Not in a city,2001-10-04
,52.6608084358523,11.956063268892798,23.95957820738137,99.83304042179256,North Dakota,Williams,Not in a city,2003-11-28
,82.81034482758616,13.453448275862058,23.958620689655195,99.82931034482752,North Dakota,Williams,Not in a city,2001-06-17
,82.22479784366585,13.29380053908356,23.87735849056603,99.49460916442052,Arizona,Maricopa,Scottsdale,2009-07-29
,64.42546063651591,12.865996649916244,23.963149078726964,99.84924623115585,California,Marin,Not in a city,2004-04-08
,60.50067024128691,12.493297587131368,23.92493297587129,99.68900804289537,Hawaii,Honolulu,Not in a city,2021-11-12
,86.45914396887159,13.517509727626456,23.97081712062258,99.87937743190656,Alaska,Denali ,Not in a city,1998-08-09
,60.77849117174959,12.5601926163724,23.88443017656502,99.52487961476724,California,Marin,Not in a city,2005-10-27
,70.36686390532537,13.22879684418146,23.94280078895463,99.7633136094673,Alaska,Denali ,Not in a city,1998-10-11
,87.25944170771753,13.055829228243017,23.83415435139573,99.31362889983578,North Dakota,Williams,Not in a city,2003-07-27
,84.97440273037542,13.6160409556314,23.82593856655291,99.27815699658692,North Dakota,Williams,Not in a city,2002-07-19
,68.5338516746413,13.144736842105251,23.79425837320573,99.15311004784682,Hawaii,Honolulu,Not in a city,2019-05-07
,50.42127388535024,13.317197452229308,23.85859872611466,99.41401273885356,Hawaii,Honolulu,Not in a city,2021-01-04
,58.27009456264774,12.43498817966903,23.897163120567384,99.5756501182032,Hawaii,Honolulu,Not in a city,2017-02-20
,75.92274678111578,13.130185979971378,23.828326180257523,99.29756795422034,Alaska,Denali ,Not in a city,2008-10-01
,39.041666666666686,13.092948717948728,23.621794871794865,98.42628205128204,Alaska,Denali ,Not in a city,1993-02-26
,63.79439252336454,14.30529595015576,23.728971962616843,98.8816199376947,Alaska,Denali ,Not in a city,1993-04-27
,66.08724832214766,13.360738255033564,23.8741610738255,99.47986577181211,North Dakota,Williams,Not in a city,2002-05-01
,87.46966580976863,13.528277634961434,23.838046272493585,99.32776349614387,Hawaii,Honolulu,Not in a city,2021-07-16
,82.77302798982191,13.372773536895664,23.795165394402023,99.1539440203563,Hawaii,Honolulu,Not in a city,2021-06-10
