air/pm25_speciation_daily_summary.o3_AQI,air/pm25_speciation_daily_summary.f0_,air/pm25_speciation_daily_summary.f1_,air/pm25_speciation_daily_summary.f2_,air/pm25_speciation_daily_summary.f3_,air/pm25_speciation_daily_summary.f4_,air/pm25_speciation_daily_summary.f5_,air/pm25_speciation_daily_summary.f6_,Day
,277.8736377184046,0.8256997455470739,2.264631043256999,99.8409669211196,Illinois,Cook,Chicago,2015-04-01
,279.1243505903724,0.3424159854677565,1.7493188010899183,99.98910081743868,Illinois,Cook,Chicago,2004-02-16
,0.1264702677651904,0.0,1.0,100.0,Arizona,Coconino,Grand Canyon,1994-03-09
,264.94244625903684,0.9759229534510432,3.224719101123594,99.74157303370788,Michigan,Wayne,Dearborn,2016-04-07
,61.276434387635696,0.047281147296086,1.1051688078876614,99.98767553032576,Texas,Harris,Deer Park,2016-06-02
,284.1361156069364,0.3791907514450868,1.895953757225434,99.96763005780343,California,San Francisco,San Francisco,2007-01-01
,166.18036480474137,0.0,1.0,100.0,Utah,Washington,Not in a city,2000-09-24
,233.0889704186893,0.8592233009708738,1.4399271844660193,99.56614077669902,Illinois,Cook,Chicago,2003-12-30
,198.93471793388423,0.6818181818181819,2.21900826446281,99.73760330578511,Tennessee,Shelby,Memphis,2019-10-01
,259.22851174934726,0.9033942558746738,3.0939947780678843,99.86161879895562,California,Orange,Anaheim,2018-06-26
,90.65815186229378,0.0184883473825883,1.033576538924699,99.98413260607772,California,Mono,Not in a city,2011-12-14
,243.276062992126,1.3805774278215224,4.272965879265092,99.81102362204724,California,Orange,Anaheim,2021-09-14
,279.3680614973263,0.3672014260249555,1.699643493761141,99.8422459893048,Illinois,Cook,Chicago,2009-04-29
,285.15492321589875,0.0,1.0,100.0,California,San Bernardino,Ontario,1999-01-18
,290.7004291845495,0.0,1.0,100.0,Massachusetts,Suffolk,Boston,1999-10-10
,268.02381433933925,0.3055555555555555,1.62987987987988,99.89114114114112,Illinois,Cook,Chicago,2004-06-18
,265.22147190506735,0.0878768441308531,1.1616420782552928,99.99743425272612,California,Riverside,Rubidoux,2002-10-18
,84.27552392101747,0.0126729138777331,1.0248995983935734,99.98420348058904,Michigan,Wayne,Dearborn,2012-05-15
,286.8654295652173,0.5612648221343874,1.8814229249011856,99.9578392621871,Maine,Hancock,Not in a city,2014-04-27
,131.59531232831324,0.0091566265060241,1.010361445783135,99.9913253012049,Idaho,Butte,Not in a city,2002-04-17
,90.5736704644024,0.0175597484276729,1.0288301886792448,99.99511949685548,Michigan,Wayne,Dearborn,2012-07-20
,292.2665565648225,0.0,1.0,100.0,California,Los Angeles,Azusa,2000-06-25
,281.7980651340996,0.6159003831417627,1.9262452107279695,99.823754789272,Michigan,Wayne,Not in a city,2008-10-29
,278.7689892473119,0.660215053763441,2.017204301075269,99.91075268817202,Illinois,Cook,Chicago,2008-01-15
,128.04465670805018,0.0056847882906429,1.0158782017773142,99.99725561944594,California,Trinity,Not in a city,2003-01-06
,48.67835377133005,0.0526995747429617,1.0402648436238378,99.99477848953008,Maine,Hancock,Not in a city,2018-07-01
