CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-7229B,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-7229C
900-1449A,CONGREGATION OHEL MOSHE,8765 W PICO BLVD,LOS ANGELES,90035,RELFA,900-1449C
900-0283A,HOLY TABERNACLE BAPTIST CHR,2312 W FLORENCE AVE,LOS ANGELES,90043,CHUR1,900-0283H
751-0003C,LADERA PARK BUILDING,6027 LADERA PARK AVE,LOS ANGELES,90056,MISCP,751-0003C
900-2497A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2497E
900-2132B,FAIRVIEW HEIGHTS BAPTIST CHR,640 HARGRAVE ST,INGLEWOOD,90302,CHUR1,900-0651B
900-2342B,ZOE CHRISTIAN FELLOWSHIP CHR,5315 W ADAMS BLVD,LOS ANGELES,90016,CHUR1,900-2342D
767-0018A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0018A
900-2334A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-2334A
900-2086A,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-2086A
900-1189B,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-0565C
900-1617A,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1617C
900-1461A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-1461C
900-0945B,54TH ST SEVENTH DAY ADVENTIST,1973 W 054TH ST,LOS ANGELES,90062,CHUR1,900-0945E
900-1457A,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-1458C
900-7166B,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-7166B
900-1711A,LOS ANGELES HIGH SCHOOL,4650 W OLYMPIC BLVD,LOS ANGELES,90019,LAUSD,900-1711E
900-2114A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2114E
900-5312C,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-0237B
900-5424A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-5424A
900-2889A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-1215A
900-2285A,NAZARETH HOUSE,3333 MANNING AVE,LOS ANGELES,90064,SRHMS,900-2285B
900-2140B,ANGELES MESA ELEMENTARY SCH,2611 W 052ND ST,LOS ANGELES,90043,LAUSD,900-2140B
900-2021A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2019B
900-1472A,RESIDENCE,9543 BOLTON RD,LOS ANGELES,90034,RES,900-1472E
767-0004A,GREATER TRUE VINE TEMPLE,9616 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,767-0004B
900-5484A,KIPP EMPOWER ACADEMY,8466 S FIGUEROA ST,LOS ANGELES,90003,SC-PR,900-5484F
900-2144A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2144C
900-2496A,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,900-2496E
900-2179A,HORACE MANN MIDDLE SCHOOL,7001 S ST ANDREWS PL,LOS ANGELES,90047,LAUSD,900-2179D
900-7349A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-7349E
751-0009B,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0009C
900-2144A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2144D
900-2091A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2091B
900-2357B,MARVIN AVE ELEMENTARY SCHOOL,2411 MARVIN AVE,LOS ANGELES,90016,LAUSD,900-2357E
900-5205B,NEW LIFE BIBLE CHURCH,6625 004TH AVE,LOS ANGELES,90043,CHURC,900-5205B
900-2262B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2262B
751-0008A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0009A
900-2556A,SHABACH FOUR SQUARE CHURCH,4300 W SLAUSON AVE,LOS ANGELES,90043,CHUR1,900-2556C
767-0007A,GREATER TRUE VINE TEMPLE,9616 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,767-0007D
900-2124B,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,900-2124D
900-5315A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-5315D
900-1522A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-1522B
900-1434A,ATHENS PARK,12603 S BROADWAY,LOS ANGELES,90061,MISCP,900-1434A
767-0018A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0018E
900-2343A,RANCHO CIENEGA PARK BLDG,5001 RODEO RD,LOS ANGELES,90016,LACPR,900-2343A
900-7168B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-7168D
900-5307A,WESTSIDE JEWISH COMM CENTER,5870 W OLYMPIC BLVD,LOS ANGELES,90036,RELFA,900-7228C
900-2126B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-2163C
900-2485A,TRUE GOSPEL BAPTIST CHURCH ,7723 S HOOVER ST,LOS ANGELES,90044,CHURC,900-2485B
900-3210A,HARRIS HALL,635 W 035TH ST,LOS ANGELES,90089,SC-PR,900-1142A
900-2373A,FIRST LUTHERAN CHURCH,3735 HUGHES AVE,LOS ANGELES,90034,CHUR1,900-2373D
900-2101A,GTR TRUE FRIENDSHIP BAPT CHR,1839 W VERNON AVE,LOS ANGELES,90062,CHUR1,900-2101E
900-2482A,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-2482B
900-2482A,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-2482D
900-2502A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2505E
900-5405A,ST ANDREWS HEALTH CARE,2300 W WASHINGTON BLVD,LOS ANGELES,90018,SRHMS,900-5405B
900-2339B,LONGWOOD MANOR,4853 W WASHINGTON BLVD,LOS ANGELES,90016,SRHMS,900-2339C
900-1582C,LOVE PEACE HAPPINESS CHURCH,4951 S FIGUEROA ST,LOS ANGELES,90037,CHUR1,900-1591A
900-2492A,KNOLL RETIREMENT CENTER ,1018 W 083RD ST,LOS ANGELES,90044,SRHMS,900-2492D
900-0944A,MAILBOXES & MORE 24/7,3520 OVERLAND AVE,LOS ANGELES,90034,BUS.,900-1377A
900-1769C,HOLY NAME OF JESUS CHURCH,2186 W 031ST ST,LOS ANGELES,90018,CHURC,900-1768E
900-2345A,RANCHO CIENEGA PARK BLDG,5001 RODEO RD,LOS ANGELES,90016,LACPR,900-2345C
767-0010A,FAITH UNITED METHODIST CHR,1713 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0010A
751-0004A,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,751-0004D
900-2900A,CENTURY PK EAST APARTMENTS ,2170 CENTURY PARK E,LOS ANGELES,90067,APTBL,900-2899C
900-2124B,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,900-2124B
751-0012A,WINDSOR HILLS ELEMENTARY SCH,5215 OVERDALE DR,LOS ANGELES,90043,LAUSD,751-0012E
900-2113A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2113A
900-1111A,CULVER PALMS CHURCH OF CHRIST,9733 VENICE BLVD,LOS ANGELES,90034,CHURC,900-1111D
900-0282A,GUIDANCE CHR OF REL SCIENCE ,7225 CRENSHAW BLVD,LOS ANGELES,90043,CHUR1,900-0282E
900-5204A,NEW LIFE BIBLE CHURCH,6625 004TH AVE,LOS ANGELES,90043,CHURC,900-5204C
900-2114A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2114C
900-2477A,NORMANDIE SENIOR HOUSING,6301 S NORMANDIE AVE,LOS ANGELES,90044,SRHMS,900-0565D
900-2144A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2144F
900-5310A,FIRE STATION #61,5821 W 003RD ST,LOS ANGELES,90036,MISCP,900-5312A
900-2211A,KRST UNITY CENTER,1811 W 078TH PL,LOS ANGELES,90047,CHURC,900-2211A
900-2502A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2505B
900-3036A,WESTERN PARKING ENFORCEMENT,11214 EXPOSITION BLVD,LOS ANGELES,90064,MISCP,900-3036A
900-2250A,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2250E
900-3210A,HARRIS HALL,635 W 035TH ST,LOS ANGELES,90089,SC-PR,900-1143B
900-3958A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-2092B
900-7230A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-0237F
900-2001A,AMOS MEMORIAL CME CHURCH,2445 W WASHINGTON BLVD,LOS ANGELES,90018,CHURC,900-1551B
