DBN,School Name,School Pupil-Teacher Ratio
29Q195,P.S. 195 WILLIAM HABERLE,16.18589
25Q193,P.S. 193 ALFRED J. KENNEDY,16.48813
26Q191,P.S. 191 MAYFLOWER,17.29863
26Q188,P.S. 188 KINGSBURY,19.20643
26Q186,P.S. 186 CASTLEWOOD,6.728861
25Q184,P.S. 184 FLUSHING MANOR,18.18934
28Q182,P.S. 182 SAMANTHA SMITH,14.82176
29Q181,P.S. 181 BROOKFIELD,14.97748
29Q176,P.S. 176 CAMBRIA HEIGHTS,19.07477
28Q175,P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,20.2407
28Q174,P.S. 174 WILLIAM SIDNEY MOUNT,17.04119
26Q173,P.S. 173 FRESH MEADOWS,17.02881
30Q171,P.S. 171 PETER G. VAN ALST,14.125
25Q169,P.S. 169 BAY TERRACE,14.93544
30Q166,P.S. 166 HENRY GRADSTEIN,17.4145
25Q165,P.S. 165 EDITH K. BERGTRAUM,9.27281
25Q163,P.S. 163 FLUSHING HEIGHTS,16.20139
26Q162,P.S. 162 JOHN GOLDEN,17.47502
28Q161,P.S. 161 ARTHUR ASHE SCHOOL,15.00549
28Q160,P.S. 160 WALTER FRANCIS BISHOP,15.31539
26Q159,P.S. 159,17.98815
29Q156,P.S. 156 LAURELTON,11.46087
27Q155,P.S. 155,17.16061
25Q154,P.S. 154 QUEENS,16.63414
24Q153,P.S. 153 MASPETH ELEM,16.28244
30Q152,P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,16.2021
30Q151,P.S. 151 MARY D. CARTER,12.34305
30Q150,P.S. 150 QUEENS,17.99806
30Q149,P.S. 149 CHRISTA MCAULIFFE,14.74905
30Q148,P.S. 148 QUEENS,16.71834
28Q144,P.S. 144 COL JEROMUS REMSEN,16.64187
24Q143,P.S. 143 LOUIS ARMSTRONG,15.13666
28Q140,P.S. 140 EDWARD K ELLINGTON,17.11554
28Q139,P.S. 139 REGO PARK,17.62222
29Q136,P.S. 136 ROY WILKINS,17.17949
29Q135,THE BELLAIRE SCHOOL,16.68667
29Q134,P.S. 134 HOLLIS,12.9607
26Q133,P.S. 133 QUEENS,15.4866
29Q132,P.S. 132 RALPH BUNCHE,14.51149
29Q131,P.S. 131 ABIGAIL ADAMS,17.84499
25Q130,P.S. 130,14.44988
25Q129,P.S. 129 PATRICIA LARKIN,15.11492
27Q123,P.S. 123,15.96031
28Q121,P.S. 121 QUEENS,17.4242
25Q120,P.S. 120 QUEENS,18.23312
29Q118,P.S. 118 LORRAINE HANSBERRY,16.27508
28Q117,P.S. 117 J. KELD / BRIARWOOD SCHOOL,16.68478
26Q115,P.S. 115 GLEN OAKS,16.6125
30Q112,P.S. 112 DUTCH KILLS,14.17105
24Q110,PS 110,15.152
27Q108,P.S. 108 CAPTAIN VINCENT G. FOWLER,17.92389
25Q107,P.S. 107 THOMAS A DOOLEY,16.29881
27Q106,P.S. 106,10.56962
27Q104,P.S. 104 THE BAYS WATER,17.10721
28Q101,P.S. 101 SCHOOL IN THE GARDENS,16.74412
27Q100,P.S. 100 GLEN MORRIS,15.615
28Q099,P.S. 099 KEW GARDENS,14.89638
26Q098,P.S. 098 THE DOUGLASTON SCHOOL,12.5229
27Q097,P.S. 097 FOREST PARK,15.93865
27Q096,P.S. 096,15.02629
29Q095,P.S. 095 EASTWOOD,16.55056
26Q094,P.S. 094 DAVID D. PORTER,15.33825
30Q092,P.S. 092 HARRY T. STEWART SR.,13.67911
24Q091,P.S. 091 RICHARD ARKWRIGHT,15.13477
27Q090,P.S. 090 HORACE MANN,16.07133
24Q089,P.S. 089 ELMHURST,16.55075
24Q088,P.S. 088 SENECA,15.34111
28Q086,P.S. Q086,15.77172
30Q085,P.S. 085 JUDGE CHARLES VALLONE,16.7372
28Q082,P.S. 082 HAMMOND,15.13335
24Q081,P.S. 81Q JEAN PAUL RICHTER,13.66935
28Q080,PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,13.58093
25Q079,P.S. 079 FRANCIS LEWIS,18.954
30Q076,P.S. 076 WILLIAM HALLET,9.815159
24Q071,P.S. 071 FOREST,13.96812
30Q070,P.S. 070 QUEENS,16.10005
30Q069,P.S. 069 JACKSON HEIGHTS,18.19758
24Q068,P.S. 068 CAMBRIDGE,15.27794
27Q066,P.S. 066 JACQUELINE KENNEDY ONASSIS,14.85563
27Q065,P.S. 65 - THE RAYMOND YORK ELEMENTARY SCHOOL,15.67653
27Q064,P.S. 064 JOSEPH P. ADDABBO,15.87804
27Q063,P.S. 063 OLD SOUTH,17.08101
27Q062,P. S. 62 - CHESTER PARK SCHOOL,17.72458
