all/school_s2tr.DBN,all/school_s2tr.School Name,all/school_s2tr.School Pupil-Teacher Ratio
07X298,ACADEMY OF PUBLIC RELATIONS,10.63624
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8.894736
16K081,P.S. 081 THADDEUS STEVENS,11.47772
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,14.76
22K611,ORIGINS HIGH SCHOOL,14.38893
20K310,THE SCHOOL FOR FUTURE LEADERS,13.92026
29Q134,P.S. 134 HOLLIS,12.9607
08X377,BRONX COMMUNITY HIGH SCHOOL,11.1067
03M452,P.S. 452,13.86096
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,16.78254
11X567,LINDEN TREE ELEMENTARY SCHOOL,16.86666
11X483,P.S. 483,14.33333
24Q071,P.S. 071 FOREST,13.96812
14K084,P.S. 084 JOSE DE DIEGO,10.36941
11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,12.0299
15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",14.9822
04M375,MOSAIC PREPARATORY ACADEMY,10.33998
19K422,SPRING CREEK COMMUNITY SCHOOL,11.7037
25Q244,THE ACTIVE LEARNING ELEMENTARY SCHOOL,16.27084
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,15.06962
09X311,LUCERO ELEMENTARY SCHOOL,13.10946
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,14.44412
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,12.79002
07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)",12.55032
13K056,P.S. 056 LEWIS H. LATIMER,11.77636
31R450,CURTIS HIGH SCHOOL,18.46422
08X302,M.S. 302 LUISA DESSUS CRUZ,12.54886
10X447,CRESTON ACADEMY,14.35229
20K223,J.H.S. 223 THE MONTAUK,14.86578
15K094,P.S. 094 THE HENRY LONGFELLOW,16.41604
06M143,J.H.S. 143 ELEANOR ROOSEVELT,12.32333
28Q160,P.S. 160 WALTER FRANCIS BISHOP,15.31539
08X333,P.S. 333 - THE MUSEUM SCHOOL,14.14542
29Q035,P.S. 035 NATHANIEL WOODHULL,16.1284
20K185,P.S. 185 WALTER KASSENBROCK,16.96718
12X195,P.S. 195,15.49911
09X063,P.S. 063 AUTHOR'S ACADEMY,13.10912
26Q018,P.S. 018 WINCHESTER,16.85337
07X161,P.S. 161 PONCE DE LEON,13.8608
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,11.62504
27Q253,P.S. 253,13.88957
12X047,P.S. 047 JOHN RANDOLPH,15.36858
